totalLoanAmount,totalLoanNum,rate,financeAmount,houseNum,due,totalReturnNum,toBeReturnAmoun,occupationYear,carBuyDate,age,carEstimatePrice,personalIncome
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-0.5840,0.4033,0.0754,-0.8283,-0.0669
-0.6032,-0.5930,-0.1771,-0.6549,0.4630,-0.3025,-0.5139,-0.4213,-0.0411,0.4033,-0.1594,-0.7631,-0.0669
-0.3800,-1.2578,-0.1771,1.0911,0.4630,-0.3025,-1.2387,-0.4213,1.1401,0.4033,-0.1712,1.5187,0.6027
0.3028,-1.2578,-0.1771,4.8742,0.4630,-0.3025,-1.2387,-0.4213,-0.8815,1.4701,0.0636,3.9961,-0.1834
-0.5113,-1.2578,-0.1771,0.3636,0.4630,-0.3025,-1.2387,-0.4213,0.2781,0.4033,0.0636,2.3662,1.5461
-0.7017,-1.2578,-0.1771,-0.6913,0.4630,-0.3025,-1.2387,-0.4213,0.2984,-0.1294,-0.0185,-0.7631,-0.6550
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.6737,-0.6621,-0.0890,0.2148,0.6027
-0.7082,-1.2578,-0.1771,-0.7277,0.4630,-0.3025,-1.2387,-0.4213,-1.1422,0.9374,-0.2299,-0.6001,-0.7179
-0.6163,-1.2578,-0.1771,-0.2184,0.4630,-0.3025,-1.2387,-0.4213,0.0553,-0.6621,0.1223,-0.2741,0.7600
-0.1699,1.0692,-0.1771,-0.2184,0.4630,-0.3025,1.2979,-0.4213,1.1424,-1.7289,0.0519,-0.4371,1.5461
0.7492,1.0692,-0.1771,0.3636,0.4630,-0.3025,1.2979,-0.4213,-0.2428,-0.6621,-0.1125,0.2148,-0.1834
1.2810,2.0664,-0.1771,0.7274,0.4630,-0.3025,2.0226,0.8302,-1.1411,-0.6621,0.1223,0.4756,-0.6236
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.6351,0.9374,-0.2064,-0.2415,-0.6865
-0.2224,-1.2578,-0.1771,1.9641,0.4630,-0.3025,-1.2387,-0.4213,1.3484,-0.1294,0.0284,3.1486,1.5461
-0.4850,-1.2578,-0.1771,0.5091,0.4630,-0.3025,-1.2387,-0.4213,2.4711,-0.1294,0.0284,1.5187,3.1183
0.3028,0.0719,-0.1771,0.5091,0.4630,-0.3025,-0.1516,-0.4213,0.3560,-0.1294,0.1106,2.6922,-0.0261
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,-0.3025,-1.2387,-0.4213,-0.8230,-0.1294,-0.1007,-0.7631,-0.6550
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.0932,-0.6621,-0.1477,-0.4371,-0.3406
-0.4719,-1.2578,-0.1771,0.5818,0.4630,-0.3025,-1.2387,-0.4213,0.9008,0.9374,0.0167,1.9751,0.7600
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,0.0578,0.9374,0.0284,-0.7631,-0.6236
-0.1699,0.4043,-0.1771,-0.3639,0.4630,-0.3025,0.5732,-0.4213,-0.2589,-0.1294,-0.1947,-0.4371,-0.6865
-0.1699,0.7367,-0.1771,-0.4367,0.4630,-0.3025,0.9355,-0.4213,0.1340,-0.1294,-0.0538,-0.6327,-0.6550
-0.6557,-1.2578,-0.1771,-0.4367,0.4630,-0.3025,-1.2387,-0.4213,-0.0208,-0.1294,-0.0303,-0.4371,-0.4978
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.9140,0.9374,-0.1125,1.3883,-0.0261
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.4080,-1.1948,-0.1125,-0.5023,-0.5764
0.3028,0.7367,-0.1771,-0.0002,-2.1600,-0.3025,0.9355,-0.4213,-0.9705,0.9374,-0.1007,0.0844,0.1311
-0.1568,-1.2578,-0.1771,2.3279,0.4630,-0.3025,-1.2387,-0.4213,-0.5017,0.9374,0.0049,3.4745,2.3322
0.0402,-0.2605,-0.1771,0.1453,0.4630,-0.3025,-0.1516,-0.4213,-0.6511,-0.1294,-0.1125,0.8016,-0.0669
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,0.5269,-0.1294,-0.0068,-0.2415,-0.4978
0.1058,0.0719,-0.1771,-0.0002,0.4630,-0.3025,0.2108,-0.4213,-0.4451,-0.6621,-0.1242,-0.1111,-0.0669
-0.1962,-1.2578,-0.1771,2.1096,0.4630,-0.3025,-1.2387,-0.4213,-0.7451,0.9374,-0.0890,4.1265,0.7600
-0.1962,0.4043,-0.1771,-0.4367,0.4630,-0.3025,0.5732,-0.4213,-0.6148,-0.6621,0.1106,-0.5023,-0.1834
-0.6163,-0.9254,-0.1771,-0.5822,0.4630,-0.3025,-0.8763,-0.4213,-0.6886,-1.7289,-0.0303,-0.5349,-0.6079
-0.3800,0.0719,-0.1771,-0.5094,0.4630,-0.3025,0.2108,-0.4213,0.1913,0.9374,-0.1360,-0.6653,-0.4978
-0.6426,-1.2578,-0.1771,-0.3639,0.4630,-0.3025,-1.2387,-0.4213,0.0413,-0.6621,-0.1477,-0.3719,0.7600
-0.6032,-0.9254,-0.1771,-0.4367,0.4630,-0.3025,-0.8763,-0.4213,-0.4641,-0.6621,-0.1007,-0.6653,-0.3406
-0.4325,-1.2578,-0.1771,0.8001,0.4630,-0.3025,-1.2387,-0.4213,-0.7070,1.4701,-0.1125,0.8668,0.8386
-0.6032,-0.9254,-0.1771,-0.4367,0.4630,-0.3025,-0.8763,-0.4213,-1.1165,-1.7289,-0.1242,-0.4371,-0.0669
0.1058,-0.9254,-0.1771,1.9641,0.4630,-0.3025,-0.8763,-0.4213,1.0804,-0.6621,0.1223,1.7143,2.8038
-0.6163,-1.2578,-0.1771,-0.2184,0.4630,-0.3025,-1.2387,-0.4213,0.3315,-0.6621,0.0402,-0.3067,0.4455
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.8817,-1.2387,-0.4213,-0.4338,1.4701,-0.1125,-0.0535,0.7600
-0.5375,-0.9254,-0.1771,-0.3639,0.4630,4.0413,-0.8763,-0.4213,0.1477,-0.1294,-0.0185,-0.3719,2.3322
1.5370,0.4043,-0.1771,1.4549,-2.1600,-0.3025,0.5732,-0.4213,-0.2636,1.4701,0.0049,1.5187,-0.0261
-0.6426,-1.2578,-0.1771,-0.3639,-2.1600,1.4350,-1.2387,-0.4213,-0.9744,0.4033,-0.0185,-0.1763,0.2883
-0.6951,-1.2578,-0.1771,-0.6549,0.4630,4.0413,-1.2387,-0.4213,1.1050,-0.1294,-0.0890,-0.8283,-0.5921
1.1956,2.3989,-0.1771,-0.0002,0.4630,-0.3025,2.3850,1.0278,-0.2979,-1.1948,0.0167,-0.3719,1.2316
-0.1568,-0.5930,-0.1771,0.1453,0.4630,-0.3025,-0.5139,-0.4213,0.1152,-0.1294,-0.0890,0.1496,0.4455
-0.6163,-1.2578,-0.1771,-0.2184,0.4630,2.3038,-1.2387,-0.4213,-0.5571,0.4033,-0.1360,1.3883,0.7600
-0.6163,-1.2578,-0.1771,-0.2184,0.4630,-0.3025,-1.2387,-0.4213,-0.1634,0.4033,-0.1477,0.9320,2.3322
-0.7082,-1.2578,-0.1771,-0.7277,0.4630,-0.3025,-1.2387,-0.4213,0.0054,-0.1294,-0.1947,-0.6979,-0.7116
-0.2224,-0.9254,1.5093,0.5091,0.4630,2.3038,-0.8763,-0.4213,-0.1062,-1.1948,-0.1007,-0.0459,2.3322
-0.2618,-0.5930,3.1957,-0.0002,0.4630,4.0413,-0.8763,0.5920,-0.9861,0.4033,-0.0655,-0.1763,-0.1834
-0.4456,-1.2578,3.1957,0.7274,0.4630,4.0413,-1.2387,-0.4213,-0.1991,0.9374,-0.0303,0.9320,-0.3406
-0.6820,-1.2578,3.1957,-0.5822,0.4630,6.6476,-1.2387,-0.4213,-1.0426,-1.1948,-0.1360,-0.6327,-0.4192
-0.3537,-0.5930,-0.1771,0.1453,0.4630,-0.3025,-0.8763,-0.4213,-0.0208,0.4033,-0.1360,1.9099,-0.0261
-0.6294,-0.9254,3.1957,-0.6549,0.4630,2.3038,-0.8763,-0.4213,0.7568,-0.6621,-0.0185,-0.2415,-0.6865
-0.2224,-1.2578,-0.1771,1.9641,0.4630,-0.3025,-1.2387,-0.4213,-0.0208,0.9374,-0.1947,1.9099,-0.3406
-0.6557,-1.2578,3.1957,-0.4367,0.4630,4.0413,-1.2387,-0.4213,2.4436,-0.6621,0.0049,-0.6327,-0.2620
0.3028,-0.2605,-0.1771,0.5091,0.4630,-0.3025,-0.1516,-0.4213,-0.8304,1.4701,0.0519,0.4756,0.6027
0.1190,0.4043,-0.1771,-0.1457,0.4630,-0.3025,0.5732,-0.4213,1.5679,-2.2616,-0.0655,-0.1111,-0.4192
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.2286,-0.1294,0.0519,-0.3719,0.7600
-0.3537,-1.2578,1.5093,1.2366,0.4630,1.4350,-1.2387,-0.4213,0.0334,0.4033,-0.1007,2.8226,1.3888
-0.4325,-0.9254,-0.1771,-0.0729,0.4630,-0.3025,-0.8763,-0.4213,-0.2284,0.9374,-0.0303,0.9972,-0.3406
-0.6557,-0.9254,-0.1771,-0.6549,0.4630,-0.3025,-0.8763,-0.4213,1.6440,-0.1294,-0.1829,-0.7631,-0.6550
-0.0780,-1.2578,-0.1771,2.7644,0.4630,-0.3025,-1.2387,-0.4213,0.5213,0.9374,-0.0185,2.6270,0.4455
-0.6688,-1.2578,3.1957,-0.5094,0.4630,4.0413,-1.2387,-0.4213,1.3257,-0.1294,-0.0772,-0.0459,-0.4978
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,1.7751,-0.1294,0.1106,-0.4371,-0.4978
-0.3931,-0.9254,-0.1771,0.1453,0.4630,-0.3025,-0.8763,-0.4213,1.3262,0.4033,-0.0890,2.1707,0.4455
0.1058,0.0719,-0.1771,-0.0002,0.4630,-0.3025,0.2108,-0.4213,-0.0400,0.4033,-0.1125,-0.0459,-0.1834
-0.2881,0.7367,-0.1771,-0.5822,0.4630,-0.3025,0.5732,0.2374,0.4660,0.4033,0.0284,-0.3067,1.5461
-0.6426,-1.2578,-0.1771,-0.3639,0.4630,-0.3025,-1.2387,-0.4213,-0.2255,-1.1948,-0.0303,-0.5023,-0.4978
-0.3800,-0.2605,-0.1771,-0.4367,0.4630,-0.3025,-0.1516,-0.4213,-1.2369,0.4033,-0.0303,-0.4371,0.8857
-0.6951,-1.2578,1.5093,-0.6549,0.4630,2.3038,-1.2387,-0.4213,0.1484,-0.6621,-0.0068,-0.7631,-0.4978
-0.6820,-1.2578,-0.1771,-0.5822,0.4630,-0.3025,-1.2387,-0.4213,-1.1619,0.9374,-0.1829,-0.4371,-0.1048
-0.7082,-1.2578,-0.1771,-0.7277,0.4630,-0.3025,-1.2387,-0.4213,-0.7869,1.4701,-0.1477,-0.4371,-0.6550
0.0927,0.4043,-0.1771,-0.0729,0.4630,-0.3025,0.5732,-0.4213,4.2849,0.4033,0.1106,-0.2415,0.7600
-0.3800,0.7367,-0.1771,-0.6549,0.4630,-0.3025,0.9355,-0.4213,-1.1423,0.4033,-0.1360,-0.7631,-0.3406
-0.6294,-1.2578,-0.1771,-0.2912,0.4630,-0.3025,-1.2387,-0.4213,-0.4309,0.4033,0.0519,-0.0459,0.4455
0.5654,1.7340,-0.1771,-0.2184,0.4630,-0.3025,2.0226,-0.4213,-0.1131,-0.1294,-0.0420,-0.5675,-0.4978
-0.3800,-0.2605,-0.1771,-0.4367,0.4630,-0.3025,-0.1516,-0.4213,-0.8798,0.4033,-0.1242,-0.5675,0.4455
-0.1568,-1.2578,-0.1771,2.3279,0.4630,-0.3025,-1.2387,-0.4213,-0.4481,0.4033,-0.0185,2.4966,-0.2620
-0.4850,-1.2578,-0.1771,0.5091,0.4630,-0.3025,-1.2387,-0.4213,-1.1601,1.4701,0.0519,0.4756,0.2883
-0.4194,-0.9254,3.1957,0.8729,0.4630,4.0413,-1.2387,-0.4213,1.1251,-1.1948,-0.1007,0.8668,-0.1834
-0.5901,-1.2578,3.1957,-0.0729,0.4630,6.6476,-1.2387,-0.4213,-0.4095,-0.1294,-0.1477,0.2148,-0.5764
-0.5507,-0.5930,-0.1771,-0.5822,0.4630,-0.3025,-0.5139,-0.4213,1.7983,0.9374,-0.2299,-0.6327,-0.4978
-0.6163,-1.2578,-0.1771,-0.2184,0.4630,-0.3025,-1.2387,-0.4213,0.5072,-0.1294,0.0519,-0.3198,-0.0261
-0.5113,-0.2605,-0.1771,-0.6186,0.4630,-0.3025,-0.1516,-0.4213,0.2281,-0.1294,-0.0303,-0.7631,-0.3406
-0.6426,-1.2578,3.1957,-0.3639,0.4630,6.6476,-1.2387,-0.4213,0.6769,-0.1294,-0.1007,-0.6001,-0.0261
0.2371,-0.5930,-0.1771,0.8729,0.4630,-0.3025,-0.5139,-0.4213,-0.2404,0.4033,-0.2299,1.3231,0.2883
-0.1896,0.0719,-0.1771,-0.3276,0.4630,-0.3025,0.2108,-0.4213,1.2198,-0.1294,0.0284,-0.5023,-0.6550
-0.6951,-1.2578,1.5093,-0.6549,0.4630,4.0413,-1.2387,-0.4213,-0.4636,-0.1294,-0.4764,-0.7631,-0.6550
-0.6820,-1.2578,1.5093,-0.5822,0.4630,1.4350,-1.2387,-0.4213,1.4270,-0.1294,0.1106,-0.6653,-0.3406
-0.6820,-1.2578,3.1957,-0.5822,0.4630,4.0413,-1.2387,-0.4213,-0.8562,0.9374,-0.1125,0.2800,-0.4978
-0.6557,-1.2578,3.1957,-0.4367,0.4630,4.0413,-1.2387,-0.4213,2.4559,-0.6621,0.0049,-0.6327,-0.3406
-0.4719,-0.5930,-0.1771,0.2181,0.4630,-0.3025,-0.8763,-0.4213,-0.8377,-0.6621,0.0754,0.2148,1.2316
-0.5507,-1.2578,-0.1771,0.1453,0.4630,-0.3025,-1.2387,-0.4213,-0.7068,0.4033,-0.0890,0.6712,-0.0261
-0.2487,-0.9254,-0.1771,0.7274,0.4630,-0.3025,-0.8763,-0.4213,-0.1808,0.4033,-0.0185,0.7364,-0.4978
-0.6294,-1.2578,3.1957,-0.2912,0.4630,6.6476,-1.2387,-0.4213,-0.9303,-1.1948,-0.0185,-0.4371,-0.6079
0.1715,0.7367,-0.1771,-0.1457,0.4630,-0.3025,0.9355,-0.4213,-0.4243,1.4701,-0.2064,0.0844,-0.7572
-0.5901,-1.2578,-0.1771,-0.0729,0.4630,-0.3025,-1.2387,-0.4213,-0.6865,1.4701,0.1341,-0.1111,-0.7022
-0.2749,1.0692,-0.1771,-0.6186,0.4630,-0.3025,0.9355,0.1715,1.8598,-0.6621,-0.0538,-0.7957,-0.3406
-0.5901,-1.2578,3.1957,-0.0729,0.4630,6.6476,-1.2387,-0.4213,0.3073,0.9374,-0.0890,1.0624,-0.1834
-0.4719,-1.2578,-0.1771,0.5818,0.4630,-0.3025,-1.2387,-0.4213,-0.9086,0.4033,-0.0890,0.5408,0.7600
-0.2881,0.7367,-0.1771,-0.5822,0.4630,-0.3025,0.5732,0.2374,-0.5895,-0.1294,-0.1594,-0.6653,-0.3406
-0.2224,-1.2578,-0.1771,1.9641,0.4630,-0.3025,-1.2387,-0.4213,-1.0218,0.9374,-0.0303,3.4745,3.9044
-0.5375,-0.2605,-0.1771,-0.5822,0.4630,-0.3025,-0.1516,-0.4213,-0.5139,0.9374,-0.1125,-0.6979,-0.6550
-0.5901,-1.2578,-0.1771,-0.0729,0.4630,-0.3025,-1.2387,-0.4213,2.2940,0.9374,-0.0068,0.4104,-0.4978
-0.6688,-1.2578,-0.1771,-0.5094,0.4630,-0.3025,-1.2387,-0.4213,-0.8865,1.4701,-0.1712,0.0192,0.7600
-0.4588,-1.2578,-0.1771,0.6546,0.4630,-0.3025,-1.2387,-0.4213,-0.3448,0.9374,-0.0068,1.6491,0.7600
-0.5769,-1.2578,3.1957,-0.0002,0.4630,4.0413,-1.2387,-0.4213,0.1810,-0.6621,0.0402,-0.1111,0.7600
0.6179,2.7313,-0.1771,-0.3639,-2.1600,-0.3025,2.7474,0.6326,-0.3436,-0.1294,-0.0068,-0.6001,-0.1834
-0.5375,-0.9254,-0.1771,-0.3639,0.4630,-0.3025,-0.8763,-0.4213,-0.2864,-1.3221,-0.1242,-0.1763,0.7600
-0.4981,-0.5930,-0.1771,-0.2184,0.4630,-0.3025,-0.5139,-0.4213,-0.6412,-1.3221,-0.1594,-0.0535,-0.4978
-0.6623,-1.2578,-0.1771,-0.4731,0.4630,-0.3025,-1.2387,-0.4213,-0.8656,-1.7289,-0.1594,-0.6653,-0.5764
-0.7082,-0.9254,-0.1771,-0.7277,0.4630,-0.3025,-1.2387,-0.4213,-0.0989,1.4701,-0.1477,-0.6327,-0.6550
-0.5638,-0.5930,-0.1771,-0.4367,0.4630,-0.3025,-0.8763,-0.4213,-0.9215,1.4701,-0.0185,-0.5023,-0.6550
-0.3537,0.4043,-0.1771,-0.5822,0.4630,-0.3025,0.5732,-0.4213,-0.9388,-0.6621,-0.1594,-0.6653,-0.7336
-0.7214,-1.2578,-0.1771,-0.8004,0.4630,-0.3025,-1.2387,-0.4213,-0.9387,-0.1294,-0.1125,-0.8283,-0.4978
-0.5507,0.7367,-0.1771,-0.7277,0.4630,-0.3025,0.9355,-0.4213,-1.0311,0.9374,-0.0420,-0.8609,-0.7022
-0.1568,-0.5930,-0.1771,0.1453,0.4630,-0.3025,-0.5139,-0.4213,0.1483,-0.1294,-0.0890,0.1496,0.4455
0.1058,0.0719,-0.1771,-0.0002,0.4630,-0.3025,0.2108,-0.4213,-0.0202,0.4033,-0.1125,-0.0459,-0.1834
-0.6951,-1.2578,3.1957,-0.6549,0.4630,4.0413,-1.2387,-0.4213,-1.0293,-1.7289,-0.1360,-0.8283,-0.4192
0.3422,2.0664,-0.1771,-0.3639,0.4630,-0.3025,2.0226,0.3691,-0.5798,0.4033,-0.0420,-0.2415,-0.4978
-0.3800,0.7367,-0.1771,-0.6549,0.4630,-0.3025,0.9355,-0.4213,-1.1227,0.4033,-0.1242,-0.7631,-0.3406
