projectId,status,updateTime,rate,guaranteeRate,prepareRate,referenceLevel
10000010000000071,10,2015-03-25 18:06:43,29.0,97.0,55.0,2
10000010000000072,10,2015-05-13 18:06:43,26.0,44.0,49.0,0
10000010000000073,9,2015-03-18 18:06:43,11.0,27.0,78.0,2
10000010000000074,10,2015-04-26 18:06:43,97.0,65.0,7.0,2
10000010000000075,10,2015-05-30 18:06:43,79.0,8.0,62.0,2
10000010000000076,10,2015-04-12 18:06:43,69.0,2.0,32.0,1
10000010000000077,10,2015-06-08 18:06:43,23.0,54.0,59.0,0
10000010000000078,9,2015-03-31 18:06:43,45.0,79.0,88.0,1
10000010000000079,9,2015-04-24 18:06:43,8.0,56.0,17.0,2
10000010000000080,9,2015-04-23 18:06:43,41.0,3.0,29.0,2
10000010000000081,9,2015-05-30 18:06:43,14.0,26.0,8.0,0
10000010000000082,9,2015-04-05 18:06:43,48.0,38.0,96.0,2
10000010000000083,9,2015-05-03 18:06:43,23.0,89.0,73.0,1
10000010000000084,9,2015-04-27 18:06:43,80.0,14.0,27.0,0
10000010000000085,10,2015-03-23 18:06:43,59.0,20.0,91.0,2
10000010000000086,9,2015-05-09 18:06:43,21.0,91.0,14.0,0
10000010000000087,9,2015-04-23 18:06:43,46.0,27.0,100.0,0
10000010000000088,10,2015-04-12 18:06:43,69.0,62.0,12.0,2
10000010000000089,9,2015-03-24 18:06:43,38.0,61.0,14.0,2
10000010000000090,10,2015-05-19 18:06:43,14.0,17.0,33.0,1
10000010000000091,10,2015-04-02 18:06:44,66.0,30.0,16.0,0
10000010000000092,9,2015-04-16 18:06:44,28.0,77.0,28.0,0
10000010000000093,9,2015-03-19 18:06:44,59.0,70.0,17.0,0
10000010000000094,9,2015-04-05 18:06:44,71.0,29.0,41.0,1
10000010000000095,10,2015-04-15 18:06:44,39.0,91.0,99.0,0
10000010000000096,10,2015-05-08 18:06:44,50.0,33.0,22.0,2
10000010000000097,10,2015-03-19 18:06:44,46.0,52.0,21.0,0
10000010000000098,9,2015-05-15 18:06:44,19.0,38.0,75.0,0
10000010000000099,9,2015-06-05 18:06:44,21.0,68.0,36.0,2
10000010000000100,10,2015-05-01 18:06:44,97.0,53.0,0.0,0
10000010000000101,9,2015-04-04 18:06:44,91.0,99.0,33.0,1
10000010000000102,9,2015-03-18 18:06:44,76.0,45.0,81.0,0
10000010000000103,10,2015-05-03 18:06:44,40.0,19.0,25.0,0
10000010000000104,9,2015-05-20 18:06:44,76.0,54.0,39.0,0
10000010000000105,10,2015-05-28 18:06:44,89.0,8.0,35.0,0
10000010000000106,9,2015-03-16 18:06:44,6.0,6.0,55.0,2
10000010000000107,10,2015-03-29 18:06:44,58.0,70.0,66.0,1
10000010000000108,9,2015-03-29 18:06:44,51.0,63.0,80.0,2
10000010000000109,9,2015-04-19 18:06:44,93.0,17.0,77.0,1
10000010000000110,10,2015-05-30 18:06:44,6.0,40.0,100.0,1
10000010000000111,9,2015-06-07 18:06:44,63.0,90.0,27.0,0
10000010000000112,10,2015-05-01 18:06:44,33.0,73.0,45.0,1
10000010000000113,10,2015-03-31 18:06:44,9.0,90.0,99.0,1
10000010000000114,10,2015-03-26 18:06:44,50.0,100.0,35.0,2
10000010000000115,9,2015-05-01 18:06:44,0.0,56.0,18.0,2
10000010000000116,9,2015-06-08 18:06:44,17.0,8.0,80.0,0
10000010000000117,9,2015-05-25 18:06:44,78.0,92.0,30.0,0
10000010000000118,9,2015-04-22 18:06:44,77.0,45.0,37.0,1
10000010000000119,9,2015-04-19 18:06:44,40.0,21.0,62.0,1
10000010000000120,10,2015-04-24 18:06:44,7.0,26.0,35.0,1
10000010000000121,10,2015-05-07 18:06:44,86.0,48.0,42.0,2
10000010000000122,9,2015-06-07 18:06:44,97.0,97.0,45.0,2
10000010000000123,9,2015-03-31 18:06:44,37.0,39.0,78.0,0
10000010000000124,10,2015-03-24 18:06:44,86.0,91.0,62.0,1
10000010000000125,9,2015-04-17 18:06:44,97.0,57.0,84.0,2
10000010000000126,9,2015-04-03 18:06:44,30.0,42.0,8.0,2
10000010000000127,10,2015-05-24 18:06:44,62.0,10.0,70.0,2
10000010000000128,10,2015-06-09 18:06:44,56.0,8.0,58.0,0
10000010000000129,10,2015-04-16 18:06:44,86.0,35.0,56.0,2
10000010000000130,10,2015-03-29 18:06:44,22.0,50.0,12.0,0
10000010000000131,9,2015-03-13 18:06:44,50.0,7.0,68.0,1
10000010000000132,9,2015-05-31 18:06:44,8.0,85.0,77.0,1
10000010000000133,9,2015-03-15 18:06:44,68.0,16.0,20.0,2
10000010000000134,10,2015-03-16 18:06:44,64.0,52.0,12.0,0
10000010000000135,10,2015-03-31 18:06:44,78.0,20.0,36.0,0
10000010000000136,10,2015-03-21 18:06:44,88.0,27.0,39.0,1
10000010000000137,9,2015-04-02 18:06:44,81.0,4.0,11.0,1
10000010000000138,9,2015-05-11 18:06:44,61.0,68.0,84.0,0
10000010000000139,10,2015-03-23 18:06:44,36.0,33.0,75.0,2
10000010000000140,9,2015-05-29 18:06:44,22.0,25.0,6.0,1
10000010000000141,10,2015-04-28 18:06:44,90.0,43.0,57.0,1
10000010000000142,9,2015-03-23 18:06:44,0.0,13.0,85.0,0
10000010000000143,10,2015-04-15 18:06:44,13.0,77.0,30.0,0
10000010000000144,9,2015-04-15 18:06:44,10.0,86.0,3.0,1
10000010000000145,9,2015-05-24 18:06:44,60.0,29.0,21.0,1
10000010000000146,9,2015-03-22 18:06:44,61.0,25.0,51.0,2
10000010000000147,10,2015-04-19 18:06:44,92.0,96.0,48.0,0
10000010000000148,10,2015-05-13 18:06:44,13.0,34.0,98.0,2
10000010000000149,9,2015-05-11 18:06:44,11.0,80.0,18.0,2
10000010000000150,10,2015-05-04 18:06:44,1.0,15.0,20.0,0
10000010000000151,9,2015-06-06 18:06:44,48.0,67.0,18.0,1
10000010000000152,9,2015-03-31 18:06:44,21.0,3.0,98.0,1
10000010000000153,10,2015-04-11 18:06:44,45.0,39.0,52.0,1
10000010000000154,10,2015-04-07 18:06:44,89.0,22.0,70.0,2
10000010000000155,10,2015-04-12 18:06:44,64.0,30.0,68.0,1
10000010000000156,9,2015-04-20 18:06:44,98.0,53.0,62.0,2
10000010000000157,10,2015-05-19 18:06:44,90.0,97.0,83.0,1
10000010000000158,10,2015-04-16 18:06:44,80.0,96.0,47.0,0
10000010000000159,9,2015-03-19 18:06:44,61.0,76.0,92.0,2
10000010000000160,9,2015-05-02 18:06:44,42.0,54.0,88.0,1
10000010000000161,9,2015-05-31 18:06:44,19.0,64.0,100.0,0
10000010000000162,10,2015-04-01 18:06:44,59.0,96.0,18.0,0
10000010000000163,9,2015-04-13 18:06:44,52.0,63.0,31.0,2
10000010000000164,9,2015-04-02 18:06:44,16.0,59.0,50.0,0
10000010000000165,10,2015-04-25 18:06:44,39.0,43.0,87.0,2
10000010000000166,10,2015-03-12 18:06:44,97.0,27.0,62.0,1
10000010000000167,9,2015-05-15 18:06:44,36.0,25.0,30.0,1
10000010000000168,10,2015-04-29 18:06:44,10.0,34.0,23.0,1
10000010000000169,9,2015-04-13 18:06:44,12.0,34.0,41.0,0
10000010000000170,9,2015-03-30 18:06:44,60.0,74.0,8.0,0
10000010000000171,9,2015-05-02 18:06:44,67.0,37.0,21.0,2
10000010000000172,9,2015-04-22 18:06:44,18.0,39.0,44.0,1
10000010000000173,9,2015-04-03 18:06:44,15.0,51.0,19.0,1
10000010000000174,9,2015-03-28 18:06:44,29.0,91.0,87.0,2
10000010000000175,9,2015-06-01 18:06:44,66.0,26.0,6.0,2
10000010000000176,10,2015-05-05 18:06:44,68.0,6.0,6.0,2
10000010000000177,10,2015-05-03 18:06:44,74.0,98.0,66.0,0
10000010000000178,9,2015-06-07 18:06:44,27.0,18.0,19.0,0
10000010000000179,10,2015-03-15 18:06:44,98.0,82.0,21.0,1
10000010000000180,9,2015-03-29 18:06:44,58.0,24.0,34.0,0
10000010000000181,10,2015-03-26 18:06:44,25.0,98.0,16.0,2
10000010000000182,10,2015-05-13 18:06:44,77.0,46.0,31.0,0
10000010000000183,10,2015-03-14 18:06:44,26.0,91.0,40.0,2
10000010000000184,9,2015-03-28 18:06:44,4.0,89.0,26.0,2
10000010000000185,10,2015-05-07 18:06:44,8.0,18.0,27.0,0
10000010000000186,10,2015-04-24 18:06:44,84.0,94.0,15.0,1
10000010000000187,10,2015-04-03 18:06:44,61.0,99.0,99.0,1
10000010000000188,10,2015-04-17 18:06:44,4.0,31.0,44.0,1
10000010000000189,9,2015-04-23 18:06:44,75.0,80.0,73.0,1
10000010000000190,10,2015-03-14 18:06:44,38.0,35.0,71.0,0
10000010000000191,10,2015-03-28 18:06:44,67.0,38.0,89.0,0
10000010000000192,9,2015-03-31 18:06:44,97.0,42.0,5.0,1
10000010000000193,9,2015-05-30 18:06:44,85.0,42.0,77.0,1
10000010000000194,10,2015-03-17 18:06:44,83.0,7.0,33.0,0
10000010000000195,10,2015-04-26 18:06:44,29.0,91.0,38.0,1
10000010000000196,10,2015-04-09 18:06:44,0.0,22.0,55.0,2
10000010000000197,9,2015-05-05 18:06:44,80.0,94.0,8.0,1
10000010000000198,9,2015-03-14 18:06:44,83.0,67.0,93.0,0
10000010000000199,9,2015-03-28 18:06:44,51.0,40.0,46.0,0
10000010000000200,9,2015-04-27 18:06:44,37.0,85.0,2.0,1
10000010000000201,9,2015-05-26 18:06:44,31.0,84.0,53.0,1
10000010000000202,9,2015-03-26 18:06:44,51.0,30.0,18.0,1
10000010000000203,9,2015-05-18 18:06:44,42.0,62.0,40.0,1
10000010000000204,10,2015-05-26 18:06:44,33.0,72.0,49.0,1
10000010000000205,10,2015-05-03 18:06:44,4.0,40.0,20.0,1
10000010000000206,9,2015-06-02 18:06:44,54.0,93.0,37.0,1
10000010000000207,9,2015-04-22 18:06:44,97.0,73.0,53.0,0
10000010000000208,10,2015-04-24 18:06:44,15.0,34.0,77.0,0
10000010000000209,9,2015-03-15 18:06:44,52.0,25.0,50.0,1
10000010000000210,10,2015-05-31 18:06:44,17.0,99.0,25.0,1
10000010000000211,10,2015-04-05 18:06:44,34.0,27.0,51.0,1
10000010000000212,10,2015-05-25 18:06:44,57.0,66.0,37.0,1
10000010000000213,9,2015-04-23 18:06:44,77.0,55.0,43.0,2
10000010000000214,10,2015-05-31 18:06:44,17.0,42.0,68.0,1
10000010000000215,9,2015-04-28 18:06:44,31.0,98.0,14.0,1
10000010000000216,9,2015-04-17 18:06:44,37.0,86.0,42.0,2
10000010000000217,9,2015-04-26 18:06:44,64.0,8.0,99.0,1
10000010000000218,10,2015-04-10 18:06:44,20.0,46.0,54.0,2
10000010000000219,9,2015-04-27 18:06:44,81.0,25.0,31.0,2
10000010000000220,9,2015-04-20 18:06:44,35.0,48.0,94.0,1
10000010000000221,10,2015-04-23 18:06:44,17.0,58.0,57.0,2
10000010000000222,9,2015-05-19 18:06:44,86.0,55.0,52.0,2
10000010000000223,9,2015-05-29 18:06:44,57.0,46.0,88.0,2
10000010000000224,10,2015-03-31 18:06:44,46.0,13.0,59.0,0
10000010000000225,9,2015-04-25 18:06:44,40.0,21.0,61.0,1
10000010000000226,10,2015-05-19 18:06:44,72.0,83.0,2.0,2
10000010000000227,9,2015-06-07 18:06:44,11.0,85.0,40.0,1
10000010000000228,10,2015-03-22 18:06:44,37.0,93.0,36.0,0
10000010000000229,10,2015-04-06 18:06:44,71.0,49.0,34.0,1
10000010000000230,10,2015-04-22 18:06:44,91.0,60.0,41.0,1
10000010000000231,10,2015-06-08 18:06:44,12.0,17.0,68.0,2
10000010000000232,9,2015-04-16 18:06:44,66.0,14.0,77.0,2
10000010000000233,9,2015-05-20 18:06:44,88.0,82.0,73.0,2
10000010000000234,10,2015-05-04 18:06:44,67.0,88.0,21.0,0
10000010000000235,10,2015-03-24 18:06:44,51.0,77.0,26.0,2
10000010000000236,10,2015-06-05 18:06:44,52.0,47.0,80.0,2
10000010000000237,9,2015-05-24 18:06:44,18.0,59.0,50.0,2
10000010000000238,9,2015-05-14 18:06:44,31.0,97.0,61.0,2
10000010000000239,9,2015-04-12 18:06:44,50.0,70.0,31.0,0
10000010000000240,10,2015-03-17 18:06:44,35.0,12.0,80.0,2
10000010000000241,9,2015-04-13 18:06:44,16.0,36.0,15.0,0
10000010000000242,10,2015-03-15 18:06:44,97.0,96.0,90.0,1
10000010000000243,10,2015-03-31 18:06:44,18.0,62.0,72.0,1
10000010000000244,10,2015-04-07 18:06:44,38.0,70.0,50.0,0
10000010000000245,9,2015-04-11 18:06:44,84.0,58.0,19.0,0
10000010000000246,9,2015-05-20 18:06:44,1.0,14.0,68.0,2
10000010000000247,10,2015-04-06 18:06:44,24.0,46.0,32.0,2
10000010000000248,9,2015-04-27 18:06:44,30.0,87.0,100.0,2
10000010000000249,10,2015-05-02 18:06:44,18.0,13.0,29.0,1
10000010000000250,10,2015-03-27 18:06:44,47.0,16.0,16.0,1
10000010000000251,10,2015-04-05 18:06:44,36.0,56.0,58.0,1
10000010000000252,10,2015-05-24 18:06:44,94.0,63.0,88.0,2
10000010000000253,9,2015-05-01 18:06:44,77.0,52.0,73.0,2
10000010000000254,10,2015-04-28 18:06:44,41.0,91.0,64.0,2
10000010000000255,9,2015-03-19 18:06:44,74.0,18.0,53.0,1
10000010000000256,10,2015-06-03 18:06:44,15.0,62.0,87.0,0
10000010000000257,9,2015-03-21 18:06:44,34.0,21.0,91.0,2
10000010000000258,10,2015-04-18 18:06:44,9.0,65.0,6.0,2
10000010000000259,10,2015-04-09 18:06:44,1.0,42.0,28.0,1
10000010000000260,10,2015-05-27 18:06:44,69.0,87.0,90.0,2
10000010000000261,10,2015-04-10 18:06:44,59.0,58.0,65.0,0
10000010000000262,10,2015-05-02 18:06:44,28.0,10.0,13.0,1
10000010000000263,9,2015-05-19 18:06:44,22.0,85.0,8.0,2
10000010000000264,9,2015-03-22 18:06:44,88.0,1.0,17.0,0
10000010000000265,9,2015-05-20 18:06:44,82.0,72.0,32.0,2
10000010000000266,10,2015-04-14 18:06:44,55.0,14.0,35.0,2
10000010000000267,9,2015-05-23 18:06:44,80.0,44.0,4.0,2
10000010000000268,10,2015-05-22 18:06:44,48.0,100.0,31.0,0
10000010000000269,10,2015-04-29 18:06:44,69.0,1.0,56.0,1
10000010000000270,10,2015-03-17 18:06:44,83.0,22.0,85.0,1
10000010000000271,9,2015-03-29 18:06:44,0.0,78.0,9.0,0
10000010000000272,10,2015-04-08 18:06:44,95.0,11.0,68.0,2
10000010000000273,10,2015-05-19 18:06:44,100.0,66.0,35.0,0
10000010000000274,10,2015-04-20 18:06:44,48.0,41.0,33.0,2
10000010000000275,10,2015-04-22 18:06:44,10.0,55.0,14.0,0
10000010000000276,10,2015-05-16 18:06:44,62.0,88.0,20.0,1
10000010000000277,9,2015-04-21 18:06:44,3.0,72.0,85.0,1
10000010000000278,10,2015-05-21 18:06:44,31.0,48.0,33.0,1
10000010000000279,9,2015-05-04 18:06:44,2.0,74.0,90.0,1
10000010000000280,10,2015-05-14 18:06:44,57.0,58.0,41.0,2
10000010000000281,10,2015-05-07 18:06:44,26.0,29.0,12.0,1
10000010000000282,9,2015-06-07 18:06:44,57.0,8.0,64.0,1
10000010000000283,10,2015-04-17 18:06:44,12.0,75.0,30.0,0
10000010000000284,9,2015-05-02 18:06:44,5.0,35.0,56.0,1
10000010000000285,10,2015-03-13 18:06:44,6.0,38.0,96.0,2
10000010000000286,10,2015-05-28 18:06:44,88.0,39.0,61.0,2
10000010000000287,9,2015-06-01 18:06:44,14.0,27.0,11.0,0
10000010000000288,10,2015-05-03 18:06:44,80.0,38.0,79.0,1
10000010000000289,10,2015-03-26 18:06:44,23.0,32.0,92.0,0
10000010000000290,9,2015-04-17 18:06:44,80.0,10.0,18.0,2
10000010000000291,10,2015-04-12 18:06:44,37.0,2.0,88.0,0
10000010000000292,9,2015-05-22 18:06:44,27.0,62.0,13.0,1
10000010000000293,10,2015-03-17 18:06:44,36.0,47.0,50.0,0
10000010000000294,9,2015-06-09 18:06:44,56.0,23.0,99.0,1
10000010000000295,9,2015-04-05 18:06:44,93.0,81.0,32.0,1
10000010000000296,9,2015-03-20 18:06:44,78.0,88.0,79.0,2
10000010000000297,9,2015-05-30 18:06:44,32.0,14.0,39.0,2
10000010000000298,10,2015-03-18 18:06:44,50.0,11.0,78.0,2
10000010000000299,10,2015-05-14 18:06:44,5.0,27.0,97.0,0
10000010000000300,9,2015-05-21 18:06:44,75.0,34.0,36.0,0
10000010000000301,10,2015-03-13 18:06:44,8.0,44.0,99.0,1
10000010000000302,9,2015-04-12 18:06:44,11.0,99.0,41.0,2
10000010000000303,10,2015-04-28 18:06:44,97.0,66.0,91.0,0
10000010000000304,10,2015-03-27 18:06:44,48.0,0.0,76.0,0
10000010000000305,10,2015-06-08 18:06:44,68.0,93.0,42.0,2
10000010000000306,10,2015-04-19 18:06:44,71.0,39.0,87.0,1
10000010000000307,10,2015-03-12 18:06:44,63.0,53.0,64.0,0
10000010000000308,9,2015-03-26 18:06:44,31.0,87.0,96.0,0
10000010000000309,10,2015-05-07 18:06:44,83.0,6.0,48.0,2
10000010000000310,9,2015-04-09 18:06:44,94.0,33.0,97.0,0
10000010000000311,10,2015-04-10 18:06:44,59.0,44.0,91.0,2
10000010000000312,10,2015-04-10 18:06:44,36.0,80.0,70.0,0
10000010000000313,9,2015-04-18 18:06:44,43.0,50.0,94.0,0
10000010000000314,9,2015-03-20 18:06:44,81.0,10.0,50.0,1
10000010000000315,10,2015-04-11 18:06:44,26.0,37.0,99.0,1
10000010000000316,10,2015-04-17 18:06:44,46.0,56.0,87.0,2
10000010000000317,9,2015-03-21 18:06:44,94.0,41.0,100.0,0
10000010000000318,9,2015-03-30 18:06:44,53.0,79.0,94.0,2
10000010000000319,10,2015-05-18 18:06:44,14.0,7.0,98.0,2
10000010000000320,10,2015-05-28 18:06:44,10.0,93.0,22.0,0
10000010000000321,10,2015-04-14 18:06:44,7.0,60.0,90.0,1
10000010000000322,10,2015-05-18 18:06:44,66.0,10.0,90.0,0
10000010000000323,10,2015-05-01 18:06:44,14.0,19.0,58.0,2
10000010000000324,9,2015-03-19 18:06:44,46.0,76.0,35.0,2
10000010000000325,10,2015-03-24 18:06:44,42.0,7.0,69.0,0
10000010000000326,9,2015-05-01 18:06:44,100.0,29.0,48.0,1
10000010000000327,10,2015-03-29 18:06:44,23.0,63.0,15.0,0
10000010000000328,10,2015-04-09 18:06:44,31.0,28.0,26.0,2
10000010000000329,10,2015-05-15 18:06:44,90.0,40.0,77.0,1
10000010000000330,10,2015-03-13 18:06:44,11.0,89.0,12.0,2
10000010000000331,10,2015-03-25 18:06:44,4.0,91.0,68.0,2
10000010000000332,9,2015-06-03 18:06:44,40.0,7.0,50.0,1
10000010000000333,10,2015-04-14 18:06:44,87.0,5.0,20.0,0
10000010000000334,9,2015-04-20 18:06:44,40.0,34.0,26.0,2
10000010000000335,10,2015-03-17 18:06:44,82.0,93.0,33.0,1
10000010000000336,9,2015-04-05 18:06:44,45.0,78.0,25.0,0
10000010000000337,10,2015-04-20 18:06:44,16.0,83.0,0.0,2
10000010000000338,9,2015-05-10 18:06:44,36.0,82.0,38.0,1
10000010000000339,9,2015-03-13 18:06:44,38.0,34.0,17.0,1
10000010000000340,9,2015-05-18 18:06:44,3.0,39.0,28.0,0
10000010000000341,9,2015-04-16 18:06:44,51.0,0.0,72.0,2
10000010000000342,9,2015-04-15 18:06:44,40.0,50.0,7.0,1
10000010000000343,9,2015-06-05 18:06:44,82.0,44.0,35.0,2
10000010000000344,10,2015-05-19 18:06:44,1.0,19.0,37.0,2
10000010000000345,10,2015-04-15 18:06:44,1.0,91.0,64.0,0
10000010000000346,10,2015-03-24 18:06:44,1.0,88.0,38.0,1
10000010000000347,10,2015-04-01 18:06:44,67.0,15.0,48.0,2
10000010000000348,10,2015-04-01 18:06:44,33.0,89.0,61.0,1
10000010000000349,9,2015-05-02 18:06:44,43.0,72.0,76.0,2
10000010000000350,10,2015-04-30 18:06:44,4.0,43.0,57.0,1
10000010000000351,10,2015-05-19 18:06:44,28.0,1.0,54.0,1
10000010000000352,10,2015-04-24 18:06:44,100.0,40.0,19.0,1
10000010000000353,9,2015-04-02 18:06:44,89.0,44.0,6.0,1
10000010000000354,9,2015-04-09 18:06:44,25.0,33.0,44.0,2
10000010000000355,9,2015-05-14 18:06:44,5.0,1.0,40.0,0
10000010000000356,10,2015-03-15 18:06:44,98.0,87.0,93.0,1
10000010000000357,10,2015-03-31 18:06:44,81.0,59.0,18.0,1
10000010000000358,10,2015-04-05 18:06:44,48.0,65.0,15.0,0
10000010000000359,9,2015-04-25 18:06:44,38.0,31.0,31.0,1
10000010000000360,9,2015-04-08 18:06:44,23.0,31.0,73.0,2
10000010000000361,10,2015-05-31 18:06:44,58.0,6.0,41.0,0
10000010000000362,10,2015-04-06 18:06:44,69.0,93.0,31.0,0
10000010000000363,10,2015-04-22 18:06:44,97.0,7.0,74.0,1
10000010000000364,10,2015-05-15 18:06:44,72.0,2.0,97.0,0
10000010000000365,9,2015-05-22 18:06:44,69.0,43.0,82.0,2
10000010000000366,10,2015-05-18 18:06:44,16.0,66.0,51.0,2
10000010000000367,9,2015-03-29 18:06:44,63.0,34.0,14.0,2
10000010000000368,9,2015-06-02 18:06:44,34.0,35.0,49.0,0
10000010000000369,9,2015-03-30 18:06:44,80.0,13.0,29.0,0
10000010000000370,9,2015-05-04 18:06:44,26.0,85.0,72.0,0
10000010000000371,10,2015-04-22 18:06:44,6.0,11.0,86.0,2
10000010000000372,9,2015-04-24 18:06:44,62.0,84.0,31.0,1
10000010000000373,10,2015-03-22 18:06:44,8.0,56.0,66.0,2
10000010000000374,10,2015-05-20 18:06:44,41.0,8.0,91.0,0
10000010000000375,10,2015-04-18 18:06:44,84.0,74.0,100.0,1
10000010000000376,9,2015-05-10 18:06:44,60.0,62.0,2.0,0
10000010000000377,9,2015-05-25 18:06:44,72.0,72.0,4.0,0
10000010000000378,9,2015-05-15 18:06:44,4.0,93.0,13.0,0
10000010000000379,9,2015-03-24 18:06:44,45.0,68.0,66.0,0
10000010000000380,9,2015-06-06 18:06:44,60.0,11.0,82.0,1
10000010000000381,9,2015-03-27 18:06:44,38.0,20.0,26.0,2
10000010000000382,9,2015-04-01 18:06:44,32.0,24.0,57.0,2
10000010000000383,9,2015-04-22 18:06:44,44.0,73.0,46.0,1
10000010000000384,9,2015-04-18 18:06:44,70.0,90.0,57.0,2
10000010000000385,10,2015-05-18 18:06:44,85.0,45.0,84.0,2
10000010000000386,10,2015-06-06 18:06:44,55.0,73.0,26.0,1
