totalLoanAmount,totalLoanNum,rate,financeAmount,due,totalReturnNum,toBeReturnAmoun,occupationYear,carBuyDate,age,carEstimatePrice,personalIncome
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,-0.0142,0.7761,-0.0185,-0.6825,-0.7814
-0.4981,-0.9254,-0.1771,-0.2184,-0.3025,-0.8763,-0.4213,0.4126,0.0000,0.0402,0.0000,0.0000
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.8502,-0.8732,-0.1477,0.0159,0.0000
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,1.7486,0.0000,0.0049,0.0000,1.4692
-0.4325,0.0719,-0.1771,-0.5822,-0.3025,0.2108,-0.4213,-0.5503,-0.3224,-0.1007,-0.6190,-0.5564
2.2066,1.4016,-0.1771,0.8729,-0.3025,1.6603,-0.4213,-0.1613,1.3254,-0.0068,0.5239,0.0000
-0.4850,-1.2578,-0.1771,0.5091,-0.3025,-1.2387,-0.4213,0.0619,1.3254,0.0871,0.2064,0.0000
-0.3931,0.4043,-0.1771,-0.3639,-0.3025,0.5732,-0.4213,-0.4570,1.8762,0.1458,-0.4285,0.0000
-0.6557,-1.2578,-0.1771,-0.4367,-0.3025,-1.2387,-0.4213,-0.8101,0.7761,-0.0185,-0.6825,0.0000
-0.3275,-1.2578,-0.1771,1.3821,-0.3025,-1.2387,-0.4213,-0.4759,-0.8732,-0.1007,4.0000,1.4692
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,-0.4387,0.2269,-0.0655,-0.3016,0.0000
-0.5362,-0.2605,-0.1771,-0.5822,-0.3025,-0.1516,-0.4213,-0.4570,-0.8732,-0.0303,-0.6825,0.0000
0.0402,-0.9254,-0.1771,1.2366,-0.3025,-0.8763,-0.4213,-0.0308,-0.3224,-0.0538,3.2541,0.0000
-0.5901,-1.2578,-0.1771,-0.0729,-0.3025,-1.2387,-0.4213,-0.7529,1.8762,0.0871,-0.1746,0.0000
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,-1.1425,0.7761,-0.1477,-0.8095,0.0000
-0.0255,-0.5930,-0.1771,0.8729,-0.3025,-0.5139,-0.4213,1.5673,0.7761,-0.4764,0.8413,0.0000
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-1.2358,0.2269,-0.0890,-0.4920,0.0000
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.7150,0.7761,-0.0068,-0.4285,0.0000
-0.6426,-0.9254,-0.1771,-0.5822,-0.3025,-0.8763,-0.4213,-1.1222,0.7761,-0.0655,-0.7460,0.0000
-0.6688,-1.2578,-0.1771,-0.5094,-0.3025,-1.2387,-0.4213,-0.3246,1.3254,-0.1829,-0.4920,0.0000
0.5260,2.3989,-0.1771,-0.0729,-0.3025,2.3850,0.7644,-0.3063,-0.3224,-0.1477,-0.3016,0.0000
1.3663,0.7367,-0.1771,0.7274,-0.3025,0.9355,-0.4213,0.0118,0.7761,-0.0538,0.1429,0.0000
-0.0255,2.0664,-0.1771,-0.5822,-0.3025,2.0226,0.2374,0.4575,0.7761,-0.0420,-0.7460,0.0000
-0.2618,-1.2578,-0.1771,1.7459,-0.3025,-1.2387,-0.4213,-0.9535,2.9747,-0.1360,1.1588,0.0000
-0.3537,-1.2578,-0.1771,1.2366,-0.3025,-1.2387,-0.4213,0.5313,0.2269,0.1928,2.6191,0.0000
-0.6688,-1.2578,-0.1771,-0.5094,-0.3025,-1.2387,-0.4213,1.4965,0.2269,-0.0772,-0.5555,0.0000
-0.5769,-1.2578,-0.1771,-0.0002,-0.3025,-1.2387,-0.4213,-0.4706,-0.3224,0.1693,0.0159,0.0000
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,1.7771,-0.3224,0.0402,-0.7460,0.0000
-0.4194,-1.2578,-0.1771,0.8729,-0.3025,-1.2387,-0.4213,3.5216,-0.8732,0.0402,0.9683,0.0000
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.7473,-0.8732,-0.1007,0.7143,0.0000
-0.1962,0.7367,-0.1771,-0.5094,-0.3025,0.9355,-0.4213,-0.5058,-0.8732,0.0049,-0.7778,0.0000
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,-0.2461,-0.3224,-0.0538,-0.2381,0.0000
-0.6426,-1.2578,-0.1771,-0.3639,-0.3025,-1.2387,-0.4213,-0.0979,2.4254,0.0284,-0.6508,0.0000
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.4686,-0.3224,-0.1007,-0.1746,0.0000
-0.4456,-1.2578,-0.1771,0.7274,-0.3025,-1.2387,-0.4213,-0.1540,0.2269,-0.0185,1.9207,0.0000
-0.4588,-1.2578,-0.1771,0.6546,-0.3025,-1.2387,-0.4213,1.3131,-0.3224,0.0754,0.2064,0.0000
-0.6189,-0.5930,-0.1771,-0.6549,-0.3025,-0.5139,-0.4213,-0.7649,-0.8732,-0.1594,-0.6825,0.0000
0.3422,2.0664,-0.1771,-0.3639,-0.3025,2.0226,0.3691,-0.6344,-0.3224,-0.0420,-0.2381,0.0000
-0.4850,-1.2578,-0.1771,0.5091,-0.3025,-1.2387,-0.4213,0.3114,-0.3224,-0.1477,0.2064,0.0000
-0.6426,-0.9254,-0.1771,-0.6549,-0.3025,-0.8763,-0.4213,0.2925,0.2269,-0.1829,-0.7460,0.0000
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,-0.5795,-0.3224,0.0754,-0.8095,0.0000
-0.6032,-0.5930,-0.1771,-0.6549,-0.3025,-0.5139,-0.4213,-0.0411,-0.3224,-0.1594,-0.7460,0.0000
-0.3800,-1.2578,-0.1771,1.0911,-0.3025,-1.2387,-0.4213,1.1303,-0.3224,-0.1712,1.4763,0.5689
0.3028,-1.2578,-0.1771,4.0000,-0.3025,-1.2387,-0.4213,-0.8746,-1.4224,0.0636,3.8890,-0.1813
-0.5113,-1.2578,-0.1771,0.3636,-0.3025,-1.2387,-0.4213,0.2754,-0.3224,0.0636,2.3017,1.4692
-0.7017,-1.2578,-0.1771,-0.6913,-0.3025,-1.2387,-0.4213,0.2956,0.2269,-0.0185,-0.7460,-0.6314
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.6684,0.7761,-0.0890,0.2064,0.5689
-0.7082,-1.2578,-0.1771,-0.7277,-0.3025,-1.2387,-0.4213,-1.1331,-0.8732,-0.2299,-0.5873,-0.6914
-0.6163,-1.2578,-0.1771,-0.2184,-0.3025,-1.2387,-0.4213,0.0545,0.7761,0.1223,-0.2698,0.7190
-0.1699,1.0692,-0.1771,-0.2184,-0.3025,1.2979,-0.4213,1.1326,1.8762,0.0519,-0.4285,1.4692
0.7492,1.0692,-0.1771,0.3636,-0.3025,1.2979,-0.4213,-0.2411,0.7761,-0.1125,0.2064,-0.1813
1.2810,2.0664,-0.1771,0.7274,-0.3025,2.0226,0.8302,-1.1320,0.7761,0.1223,0.4604,-0.6014
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.6302,-0.8732,-0.2064,-0.2381,-0.6614
-0.2224,-1.2578,-0.1771,1.9641,-0.3025,-1.2387,-0.4213,1.3369,0.2269,0.0284,3.0636,1.4692
-0.4850,-1.2578,-0.1771,0.5091,-0.3025,-1.2387,-0.4213,2.4503,0.2269,0.0284,1.4763,2.9695
0.3028,0.0719,-0.1771,0.5091,-0.3025,-0.1516,-0.4213,0.3528,0.2269,0.1106,2.6191,-0.0312
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,-0.8166,0.2269,-0.1007,-0.7460,-0.6314
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.0928,0.7761,-0.1477,-0.4285,-0.3313
-0.4719,-1.2578,-0.1771,0.5818,-0.3025,-1.2387,-0.4213,0.8930,-0.8732,0.0167,1.9207,0.7190
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,0.0570,-0.8732,0.0284,-0.7460,-0.6014
-0.1699,0.4043,-0.1771,-0.3639,-0.3025,0.5732,-0.4213,-0.2571,0.2269,-0.1947,-0.4285,-0.6614
-0.1699,0.7367,-0.1771,-0.4367,-0.3025,0.9355,-0.4213,0.1325,0.2269,-0.0538,-0.6190,-0.6314
-0.6557,-1.2578,-0.1771,-0.4367,-0.3025,-1.2387,-0.4213,0.0000,0.2269,-0.0303,-0.4285,-0.4814
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.9068,-0.8732,-0.1125,1.3493,-0.0312
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.4049,1.3254,-0.1125,-0.4920,-0.5564
0.3028,0.7367,-0.1771,-0.0002,-0.3025,0.9355,-0.4213,-0.9629,-0.8732,-0.1007,0.0794,0.1188
-0.1568,-1.2578,-0.1771,2.3279,-0.3025,-1.2387,-0.4213,-0.4979,-0.8732,0.0049,3.3811,2.2193
0.0402,-0.2605,-0.1771,0.1453,-0.3025,-0.1516,-0.4213,-0.6461,0.2269,-0.1125,0.7778,0.0000
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,0.5222,0.2269,-0.0068,-0.2381,-0.4814
0.1058,0.0719,-0.1771,-0.0002,-0.3025,0.2108,-0.4213,-0.4417,0.7761,-0.1242,-0.1111,0.0000
-0.1962,-1.2578,-0.1771,2.1096,-0.3025,-1.2387,-0.4213,-0.7393,-0.8732,-0.0890,4.0000,0.7190
-0.1962,0.4043,-0.1771,-0.4367,-0.3025,0.5732,-0.4213,-0.6100,0.7761,0.1106,-0.4920,-0.1813
-0.6163,-0.9254,-0.1771,-0.5822,-0.3025,-0.8763,-0.4213,-0.6832,1.8762,-0.0303,-0.5238,-0.5864
-0.3800,0.0719,-0.1771,-0.5094,-0.3025,0.2108,-0.4213,0.1894,-0.8732,-0.1360,-0.6508,-0.4814
-0.6426,-1.2578,-0.1771,-0.3639,-0.3025,-1.2387,-0.4213,0.0406,0.7761,-0.1477,-0.3651,0.7190
-0.6032,-0.9254,-0.1771,-0.4367,-0.3025,-0.8763,-0.4213,-0.4606,0.7761,-0.1007,-0.6508,-0.3313
-0.4325,-1.2578,-0.1771,0.8001,-0.3025,-1.2387,-0.4213,-0.7015,-1.4224,-0.1125,0.8413,0.7940
-0.6032,-0.9254,-0.1771,-0.4367,-0.3025,-0.8763,-0.4213,-1.1076,1.8762,-0.1242,-0.4285,0.0000
0.1058,-0.9254,-0.1771,1.9641,-0.3025,-0.8763,-0.4213,1.0711,0.7761,0.1223,1.6667,2.6695
-0.6163,-1.2578,-0.1771,-0.2184,-0.3025,-1.2387,-0.4213,0.3284,0.7761,0.0402,-0.3016,0.4189
-0.6820,-1.2578,-0.1771,-0.5822,-0.8817,-1.2387,-0.4213,-0.4306,-1.4224,-0.1125,0.0000,0.7190
-0.5375,-0.9254,-0.1771,-0.3639,4.0000,-0.8763,-0.4213,0.1461,0.2269,-0.0185,-0.3651,2.2193
1.5370,0.4043,-0.1771,1.4549,-0.3025,0.5732,-0.4213,-0.2618,-1.4224,0.0049,1.4763,-0.0312
-0.6426,-1.2578,-0.1771,-0.3639,1.4350,-1.2387,-0.4213,-0.9667,-0.3224,-0.0185,-0.1746,0.2688
-0.6951,-1.2578,-0.1771,-0.6549,4.0000,-1.2387,-0.4213,1.0955,0.2269,-0.0890,-0.8095,-0.5714
1.1956,2.3989,-0.1771,-0.0002,-0.3025,2.3850,1.0278,-0.2958,1.3254,0.0167,-0.3651,1.1691
-0.1568,-0.5930,-0.1771,0.1453,-0.3025,-0.5139,-0.4213,0.1139,0.2269,-0.0890,0.1429,0.4189
-0.6163,-1.2578,-0.1771,-0.2184,2.3038,-1.2387,-0.4213,-0.5528,-0.3224,-0.1360,1.3493,0.7190
-0.6163,-1.2578,-0.1771,-0.2184,-0.3025,-1.2387,-0.4213,-0.1624,-0.3224,-0.1477,0.9048,2.2193
-0.7082,-1.2578,-0.1771,-0.7277,-0.3025,-1.2387,-0.4213,0.0051,0.2269,-0.1947,-0.6825,-0.6854
-0.2224,-0.9254,1.5093,0.5091,2.3038,-0.8763,-0.4213,-0.1057,1.3254,-0.1007,-0.0476,2.2193
-0.2618,-0.5930,3.1957,-0.0002,4.0000,-0.8763,0.5920,-0.9783,-0.3224,-0.0655,-0.1746,-0.1813
-0.4456,-1.2578,3.1957,0.7274,4.0000,-1.2387,-0.4213,-0.1978,-0.8732,-0.0303,0.9048,-0.3313
-0.6820,-1.2578,3.1957,-0.5822,4.0000,-1.2387,-0.4213,-1.0344,1.3254,-0.1360,-0.6190,-0.4063
-0.3537,-0.5930,-0.1771,0.1453,-0.3025,-0.8763,-0.4213,0.0000,-0.3224,-0.1360,1.8572,-0.0312
-0.6294,-0.9254,3.1957,-0.6549,2.3038,-0.8763,-0.4213,0.7502,0.7761,-0.0185,-0.2381,-0.6614
-0.2224,-1.2578,-0.1771,1.9641,-0.3025,-1.2387,-0.4213,0.0000,-0.8732,-0.1947,1.8572,-0.3313
-0.6557,-1.2578,3.1957,-0.4367,4.0000,-1.2387,-0.4213,2.4230,0.7761,0.0049,-0.6190,-0.2563
0.3028,-0.2605,-0.1771,0.5091,-0.3025,-0.1516,-0.4213,-0.8239,-1.4224,0.0519,0.4604,0.5689
0.1190,0.4043,-0.1771,-0.1457,-0.3025,0.5732,-0.4213,1.5546,2.4254,-0.0655,-0.1111,-0.4063
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.2271,0.2269,0.0519,-0.3651,0.7190
-0.3537,-1.2578,1.5093,1.2366,1.4350,-1.2387,-0.4213,0.0328,-0.3224,-0.1007,2.7461,1.3191
-0.4325,-0.9254,-0.1771,-0.0729,-0.3025,-0.8763,-0.4213,-0.2269,-0.8732,-0.0303,0.9683,-0.3313
-0.6557,-0.9254,-0.1771,-0.6549,-0.3025,-0.8763,-0.4213,1.6301,0.2269,-0.1829,-0.7460,-0.6314
-0.0780,-1.2578,-0.1771,2.7644,-0.3025,-1.2387,-0.4213,0.5167,-0.8732,-0.0185,2.5556,0.4189
-0.6688,-1.2578,3.1957,-0.5094,4.0000,-1.2387,-0.4213,1.3144,0.2269,-0.0772,-0.0476,-0.4814
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,1.7601,0.2269,0.1106,-0.4285,-0.4814
-0.3931,-0.9254,-0.1771,0.1453,-0.3025,-0.8763,-0.4213,1.3149,-0.3224,-0.0890,2.1112,0.4189
0.1058,0.0719,-0.1771,-0.0002,-0.3025,0.2108,-0.4213,-0.0400,-0.3224,-0.1125,-0.0476,-0.1813
-0.2881,0.7367,-0.1771,-0.5822,-0.3025,0.5732,0.2374,0.4618,-0.3224,0.0284,-0.3016,1.4692
-0.6426,-1.2578,-0.1771,-0.3639,-0.3025,-1.2387,-0.4213,-0.2239,1.3254,-0.0303,-0.4920,-0.4814
-0.3800,-0.2605,-0.1771,-0.4367,-0.3025,-0.1516,-0.4213,-1.2270,-0.3224,-0.0303,-0.4285,0.8390
-0.6951,-1.2578,1.5093,-0.6549,2.3038,-1.2387,-0.4213,0.1468,0.7761,-0.0068,-0.7460,-0.4814
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,-1.1526,-0.8732,-0.1829,-0.4285,-0.1063
-0.7082,-1.2578,-0.1771,-0.7277,-0.3025,-1.2387,-0.4213,-0.7808,-1.4224,-0.1477,-0.4285,-0.6314
0.0927,0.4043,-0.1771,-0.0729,-0.3025,0.5732,-0.4213,4.0000,-0.3224,0.1106,-0.2381,0.7190
-0.3800,0.7367,-0.1771,-0.6549,-0.3025,0.9355,-0.4213,-1.1332,-0.3224,-0.1360,-0.7460,-0.3313
-0.6294,-1.2578,-0.1771,-0.2912,-0.3025,-1.2387,-0.4213,-0.4277,-0.3224,0.0519,-0.0476,0.4189
0.5654,1.7340,-0.1771,-0.2184,-0.3025,2.0226,-0.4213,-0.1125,0.2269,-0.0420,-0.5555,-0.4814
-0.3800,-0.2605,-0.1771,-0.4367,-0.3025,-0.1516,-0.4213,-0.8728,-0.3224,-0.1242,-0.5555,0.4189
-0.1568,-1.2578,-0.1771,2.3279,-0.3025,-1.2387,-0.4213,-0.4448,-0.3224,-0.0185,2.4287,-0.2563
-0.4850,-1.2578,-0.1771,0.5091,-0.3025,-1.2387,-0.4213,-1.1509,-1.4224,0.0519,0.4604,0.2688
-0.4194,-0.9254,3.1957,0.8729,4.0000,-1.2387,-0.4213,1.1154,1.3254,-0.1007,0.8413,-0.1813
-0.5901,-1.2578,3.1957,-0.0729,4.0000,-1.2387,-0.4213,-0.4065,0.2269,-0.1477,0.2064,-0.5564
-0.5507,-0.5930,-0.1771,-0.5822,-0.3025,-0.5139,-0.4213,1.7831,-0.8732,-0.2299,-0.6190,-0.4814
-0.6163,-1.2578,-0.1771,-0.2184,-0.3025,-1.2387,-0.4213,0.5026,0.2269,0.0519,-0.3143,-0.0312
-0.5113,-0.2605,-0.1771,-0.6186,-0.3025,-0.1516,-0.4213,0.2259,0.2269,-0.0303,-0.7460,-0.3313
-0.6426,-1.2578,3.1957,-0.3639,4.0000,-1.2387,-0.4213,0.6710,0.2269,-0.1007,-0.5873,-0.0312
0.2371,-0.5930,-0.1771,0.8729,-0.3025,-0.5139,-0.4213,-0.2388,-0.3224,-0.2299,1.2858,0.2688
-0.1896,0.0719,-0.1771,-0.3276,-0.3025,0.2108,-0.4213,1.2094,0.2269,0.0284,-0.4920,-0.6314
-0.6951,-1.2578,1.5093,-0.6549,4.0000,-1.2387,-0.4213,-0.4602,0.2269,-0.4764,-0.7460,-0.6314
-0.6820,-1.2578,1.5093,-0.5822,1.4350,-1.2387,-0.4213,1.4148,0.2269,0.1106,-0.6508,-0.3313
-0.6820,-1.2578,3.1957,-0.5822,4.0000,-1.2387,-0.4213,-0.8494,-0.8732,-0.1125,0.2699,-0.4814
-0.6557,-1.2578,3.1957,-0.4367,4.0000,-1.2387,-0.4213,2.4353,0.7761,0.0049,-0.6190,-0.3313
-0.4719,-0.5930,-0.1771,0.2181,-0.3025,-0.8763,-0.4213,-0.8312,0.7761,0.0754,0.2064,1.1691
-0.5507,-1.2578,-0.1771,0.1453,-0.3025,-1.2387,-0.4213,-0.7013,-0.3224,-0.0890,0.6508,-0.0312
-0.2487,-0.9254,-0.1771,0.7274,-0.3025,-0.8763,-0.4213,-0.1797,-0.3224,-0.0185,0.7143,-0.4814
-0.6294,-1.2578,3.1957,-0.2912,4.0000,-1.2387,-0.4213,-0.9229,1.3254,-0.0185,-0.4285,-0.5864
0.1715,0.7367,-0.1771,-0.1457,-0.3025,0.9355,-0.4213,-0.4211,-1.4224,-0.2064,0.0794,-0.7289
-0.5901,-1.2578,-0.1771,-0.0729,-0.3025,-1.2387,-0.4213,-0.6812,-1.4224,0.1341,-0.1111,-0.6764
-0.2749,1.0692,-0.1771,-0.6186,-0.3025,0.9355,0.1715,1.8441,0.7761,-0.0538,-0.7778,-0.3313
-0.5901,-1.2578,3.1957,-0.0729,4.0000,-1.2387,-0.4213,0.3045,-0.8732,-0.0890,1.0318,-0.1813
-0.4719,-1.2578,-0.1771,0.5818,-0.3025,-1.2387,-0.4213,-0.9015,-0.3224,-0.0890,0.5239,0.7190
-0.2881,0.7367,-0.1771,-0.5822,-0.3025,0.5732,0.2374,-0.5850,0.2269,-0.1594,-0.6508,-0.3313
-0.2224,-1.2578,-0.1771,1.9641,-0.3025,-1.2387,-0.4213,-1.0137,-0.8732,-0.0303,3.3811,3.7197
-0.5375,-0.2605,-0.1771,-0.5822,-0.3025,-0.1516,-0.4213,-0.5100,-0.8732,-0.1125,-0.6825,-0.6314
-0.5901,-1.2578,-0.1771,-0.0729,-0.3025,-1.2387,-0.4213,2.2748,-0.8732,-0.0068,0.3969,-0.4814
-0.6688,-1.2578,-0.1771,-0.5094,-0.3025,-1.2387,-0.4213,-0.8795,-1.4224,-0.1712,0.0159,0.7190
-0.4588,-1.2578,-0.1771,0.6546,-0.3025,-1.2387,-0.4213,-0.3423,-0.8732,-0.0068,1.6032,0.7190
-0.5769,-1.2578,3.1957,-0.0002,4.0000,-1.2387,-0.4213,0.1791,0.7761,0.0402,-0.1111,0.7190
0.6179,2.7313,-0.1771,-0.3639,-0.3025,2.7474,0.6326,-0.3411,0.2269,-0.0068,-0.5873,-0.1813
-0.5375,-0.9254,-0.1771,-0.3639,-0.3025,-0.8763,-0.4213,-0.2844,0.0000,-0.1242,-0.1746,0.7190
-0.4981,-0.5930,-0.1771,-0.2184,-0.3025,-0.5139,-0.4213,-0.6362,0.0000,-0.1594,0.0000,-0.4814
-0.6623,-1.2578,-0.1771,-0.4731,-0.3025,-1.2387,-0.4213,-0.8588,1.8762,-0.1594,-0.6508,-0.5564
-0.7082,-0.9254,-0.1771,-0.7277,-0.3025,-1.2387,-0.4213,-0.0984,-1.4224,-0.1477,-0.6190,-0.6314
-0.5638,-0.5930,-0.1771,-0.4367,-0.3025,-0.8763,-0.4213,-0.9142,-1.4224,-0.0185,-0.4920,-0.6314
-0.3537,0.4043,-0.1771,-0.5822,-0.3025,0.5732,-0.4213,-0.9313,0.7761,-0.1594,-0.6508,-0.7064
-0.7214,-1.2578,-0.1771,-0.8004,-0.3025,-1.2387,-0.4213,-0.9313,0.2269,-0.1125,-0.8095,-0.4814
-0.5507,0.7367,-0.1771,-0.7277,-0.3025,0.9355,-0.4213,-1.0229,-0.8732,-0.0420,-0.8413,-0.6764
-0.1568,-0.5930,-0.1771,0.1453,-0.3025,-0.5139,-0.4213,0.1467,0.2269,-0.0890,0.1429,0.4189
0.1058,0.0719,-0.1771,-0.0002,-0.3025,0.2108,-0.4213,-0.0204,-0.3224,-0.1125,-0.0476,-0.1813
-0.6951,-1.2578,3.1957,-0.6549,4.0000,-1.2387,-0.4213,-1.0211,1.8762,-0.1360,-0.8095,-0.4063
0.3422,2.0664,-0.1771,-0.3639,-0.3025,2.0226,0.3691,-0.5753,-0.3224,-0.0420,-0.2381,-0.4814
-0.3800,0.7367,-0.1771,-0.6549,-0.3025,0.9355,-0.4213,-1.1138,-0.3224,-0.1242,-0.7460,-0.3313
-0.0911,-0.9254,1.5093,0.8729,2.3038,-0.8763,-0.4213,-0.0375,-0.8732,0.0402,0.9048,-0.5564
1.1956,2.3989,-0.1771,-0.0002,-0.3025,2.3850,1.0278,-0.2596,1.3254,0.0167,-0.3651,1.1691
0.5391,0.7367,-0.1771,0.0726,-0.3025,0.9355,-0.4213,0.2423,0.0000,0.0284,0.0000,0.0000
0.2371,0.0719,-0.1771,0.1453,-0.3025,0.2108,-0.4213,0.9478,-0.3224,-0.0068,-0.1111,0.8690
0.1190,2.0664,-0.1771,-0.5094,-0.3025,2.0226,0.3691,-0.6476,1.3254,-0.0068,-0.7587,0.0438
-0.6820,-1.2578,-0.1771,-0.5822,-0.3025,-1.2387,-0.4213,-0.8333,-0.8732,-0.0772,-0.4285,-0.3313
-0.6754,-1.2578,-0.1771,-0.5458,-0.3025,-1.2387,-0.4213,-1.2412,-1.4224,-0.0772,0.0794,0.7190
-0.0452,-0.5930,-0.1771,0.3636,-0.3025,-0.5139,-0.4213,0.0000,1.8762,0.0519,0.2064,-0.1813
-0.6951,-1.2578,-0.1771,-0.6549,-0.3025,-1.2387,-0.4213,-1.0370,1.3254,0.0049,-0.8413,-0.4814
-0.5901,-0.9254,-0.1771,-0.5094,-0.3025,-0.8763,-0.4213,-0.1461,-0.3224,-0.1125,-0.6190,-0.7064
0.4078,-0.2605,-0.1771,0.6546,-0.3025,-0.1516,-0.4213,1.4491,-0.8732,0.0519,0.7143,1.4692
-0.6426,-1.2578,-0.1771,-0.3639,-0.3025,-1.2387,-0.4213,-0.0907,-0.3224,-0.1007,-0.2381,-0.5564
0.7098,2.0664,-0.1771,-0.1457,-0.3025,2.0226,0.7644,-0.4425,-0.3224,0.0167,-0.3651,-0.6314
-0.4522,0.0719,-0.1771,-0.6186,-0.3025,0.2108,-0.4213,-0.5356,-1.4224,-0.1712,-0.6190,-0.4814
-0.5507,-0.5930,-0.1771,-0.5822,-0.3025,-0.5139,-0.4213,1.2105,-0.3224,0.0402,0.0159,-0.5114
0.0402,0.4043,-0.1771,-0.2184,-0.3025,0.5732,-0.4213,-0.6083,-0.8732,0.1106,-0.6190,-0.3313
