livePlace,totalLoanAmount,creditScore,carRegisterCertHosting,totalLoanNum,rate,financeAmount,houseNum,carTicketHosting,occupation,isDriversLicense,brandModel,due,isGps,totalReturnNum,loanPurpose,toBeReturnAmoun,marryCodition,carSpareKeyHosting,carNum,returnWay,occupationYear,overdueReturnNum,carBuyDate,overdueReturnAmount,gender,age,carEstimatePrice,personalIncome
广东省 广州,180000.00,155,1,1,20.00,180000.00,1,1,广州**贸易有限公司,0,宝马GT535,30,1,1,0,0.00,1,1,1,0,219357901000,0,1322668800000,0,1,46,530000.0,150000.0
广东省 广州,35000.00,155,1,1,20.00,35000.00,1,1,广东**工程有限公司,0,长城,30,1,1,0,0.00,1,1,1,0,222210522000,0,1291132800000,0,0,39,50000.0,10000.0
广东省 佛山,150000.00,155,1,1,20.00,150000.00,1,1,佛山市南海区**自动化科技有限公司,0,宝马,30,1,1,0,0.00,3,1,1,0,85612147000,0,1259596800000,0,0,33,200000.0,90000.0
广东省 广州,30000.00,155,1,1,20.00,30000.00,1,1,**门业,0,雪佛兰,30,1,1,0,0.00,0,1,1,0,19775365000,0,1354291200000,0,0,21,75000.0,6000.0
广东省 广州,100000.00,155,1,1,20.00,100000.00,1,1,广州市花都区**石材装饰行,0,丰田,30,1,1,0,0.00,1,1,1,0,188048719000,0,1259596800000,0,0,51,125000.0,100000.0
广东省 佛山,440000.00,155,1,8,20.00,100000.00,1,1,佛山**家具公司,1,丰田,30,1,8,0,0.00,1,1,1,0,340817899000,0,1196438400000,0,1,45,100000.0,150000.0
广东省 佛山,1140000.00,170,1,8,20.00,180000.00,1,1,佛山**钢铁公司,1,宝马520LI,30,1,8,0,0.00,1,1,1,0,146158713000,0,1259596800000,0,0,31,200000.0,40000.0
广东省 佛山,1545000.00,160,1,11,20.00,230000.00,1,1,佛山**房产投资公司,1,奥迪A6L,30,1,10,0,96583.33,1,1,1,0,19928328000,0,1259596800000,0,1,51,240000.0,12000.0
广东省 佛山,150000.00,150,1,1,20.00,150000.00,1,1,佛山中国**银行,0,雅阁,30,1,1,0,0.00,1,1,1,0,91035542000,0,1354291200000,0,1,23,130000.0,8000.0
广东省 广州,400000.00,155,1,1,20.00,400000.00,1,1,广州**粮油贸易商行,0,奔驰,30,1,1,0,0.00,1,1,1,0,369761956000,0,1291132800000,0,0,43,650000.0,150000.0
广东省 广州,200000.00,150,1,1,20.00,200000.00,1,1,广州**企业有限公司,0,奔驰,30,1,1,0,0.00,1,1,1,0,527528369000,0,1291132800000,0,0,43,400000.0,250000.0
广东省 广州,800000.00,160,1,5,20.00,200000.00,1,1,深圳**股权基金,1,奔驰,30,1,4,0,0.00,1,1,1,0,230312383000,0,1291132800000,0,0,50,580000.0,50000.0
广东省 广州,40000.00,155,1,1,20.00,40000.00,1,1,***家具厂,0,锋范,30,1,1,0,0.00,0,1,1,0,64621126000,0,1291132800000,0,1,32,50000.0,10000.0
广东省 广州,90000.00,155,1,1,20.00,90000.00,1,1,**牛仔布料店,0,东风日产,30,1,1,0,0.00,1,1,1,0,167177945000,0,1259596800000,0,0,28,100000.0,30000.0
广东省 佛山,210000.00,155,1,1,20.00,210000.00,1,1,佛山南海区**钢材经营部,0,奔驰,30,1,1,0,0.00,1,1,1,0,306862811000,0,1354291200000,0,0,42,470000.0,100000.0
广东省 广州,50000.00,155,1,1,20.00,50000.00,1,1,种植香蕉,0,丰田花冠,30,1,1,0,0.00,1,1,1,0,188408763000,0,1354291200000,0,0,43,50000.0,12000.0
广东省 佛山,440000.00,155,1,6,20.00,80000.00,1,1,佛山**边锁药房,1,丰田,30,1,6,0,0.00,1,1,1,0,143894771000,0,1291132800000,0,0,24,100000.0,8000.0
广东省 广州,440000.00,160,1,7,20.00,70000.00,1,1,广州**科技有限公司,1,大众朗逸,30,1,7,0,0.00,1,1,1,0,199104394000,0,1291132800000,0,0,36,70000.0,10000.0
广东省 广州,70000.00,155,1,1,20.00,70000.00,1,1,**衣柜白云店,0,丰田凯美瑞,30,1,1,0,0.00,1,1,1,0,-2740949029000,0,1291132800000,0,0,38,100000.0,20000.0
广东省 广州,150000.00,155,1,1,20.00,150000.00,1,1,天河区**电子商行,0,宝马,30,1,1,0,0.00,1,1,1,0,51844602000,0,1354291200000,0,0,31,380000.0,50000.0
广东省 佛山,90000.00,155,1,1,20.00,90000.00,1,1,**摄影中心,0,东风日产,30,1,1,0,0.00,1,1,1,0,122951824000,0,1228060800000,0,0,31,90000.0,15000.0
广东省 佛山,800000.00,155,1,7,20.00,130000.00,-9,1,佛山市**酒楼,1,思威牌,30,1,7,0,0.00,1,1,1,0,43895856000,0,1354291200000,0,0,32,180000.0,60000.0
广东省 佛山,450000.00,155,1,1,20.00,450000.00,1,1,广州市**酒店用品市场**包装厅,0,保时捷凯宴,30,1,1,0,0.00,1,1,1,0,109778294000,0,1354291200000,0,0,41,700000.0,200000.0
广东省 广州,600000.00,160,1,4,20.00,150000.00,1,1,广州**净化工程有限公司,1,奔驰,30,1,4,0,0.00,1,1,1,0,88783115000,0,1291132800000,0,1,31,290000.0,-9
广东省 广州,150000.00,155,1,1,20.00,150000.00,1,1,广州市**科技有限公司,0,欧宝,30,1,1,0,0.00,1,1,1,0,254325538000,0,1291132800000,0,1,40,130000.0,20000.0
广东省 佛山,650000.00,160,1,5,20.00,130000.00,1,1,佛山**品牌策划公司,1,宝马,30,1,5,0,0.00,1,1,1,0,117734573000,0,1259596800000,0,1,30,150000.0,-9
广东省 广州,420000.00,150,1,1,20.00,420000.00,1,1,广州**广告公司,0,奔驰,30,1,1,0,0.00,1,1,1,0,75571386000,0,1354291200000,0,0,33,800000.0,100000.0
广东省 广州,420000.00,155,1,6,20.00,70000.00,1,1,增城**制衣厂,1,日产天籁,30,1,6,0,0.00,1,1,1,0,93888201000,0,1259596800000,0,0,50,90000.0,40000.0
广东省 广州,100000.00,150,1,2,20.00,50000.00,1,1,广州**服装辅料行,1,本田雅阁,30,1,2,0,0.00,1,1,1,0,83520213000,0,1196438400000,0,1,38,85000.0,13000.0
广东省 佛山,280000.00,160,1,5,20.00,60000.00,1,1,佛山**医院,1,马自达,30,1,5,0,0.00,1,1,1,0,207158626000,0,1354291200000,0,0,29,65000.0,20000.0
广东省 广州,80000.00,150,1,1,20.00,80000.00,1,1,广州**科技公司,0,丰田,30,1,1,0,0.00,1,1,1,0,186077044000,0,1259596800000,0,1,28,110000.0,100000.0
广东省 广州,110000.00,160,1,2,20.00,70000.00,1,1,广州**鞋业公司,1,别克,30,1,2,0,0.00,1,1,1,0,115056256000,0,1259596800000,0,0,32,65000.0,30000.0
广东省 佛山,240000.00,150,1,1,20.00,240000.00,1,1,佛山**烟酒公司,0,奥迪A6L,30,1,1,0,0.00,1,1,1,0,80928355000,0,1385827200000,0,0,31,300000.0,105000.0
广东省 佛山,110000.00,150,1,2,20.00,70000.00,1,1,佛山**银行,1,奥迪,30,1,2,1,0.00,1,1,1,0,23385629000,0,1196438400000,0,0,30,100000.0,-9
广东省 广州,650000.00,165,1,2,20.00,400000.00,1,1,广州**服装有限公司,1,途锐,30,1,2,0,0.00,1,1,1,0,332101395000,0,1259596800000,0,0,51,430000.0,230000.0
广东省 佛山,100000.00,155,1,1,20.00,100000.00,1,1,佛山**制衣厂,0,东风本田,30,1,1,0,0.00,1,1,1,0,226867684000,0,1259596800000,0,0,44,120000.0,80000.0
未填,50000.00,155,1,1,20.00,50000.00,1,1,广州**贸易有限公司,0,别克,10,1,1,0,0.00,0,1,1,3,119320922000,0,1385827200000,0,0,31,-9,100000.0
广东省 广州,160000.00,157,1,2,20.00,80000.00,1,1,广州**进出口贸易公司,1,本田雅阁,180,1,2,0,0.00,1,1,1,0,201029049000,0,1291132800000,0,0,39,110000.0,200000.0
广东省 佛山,1740000.00,165,1,6,20.00,330000.00,-9,1,佛山**冷冻食品公司,1,宝马,30,1,6,0,0.00,1,1,1,0,143232646000,0,1385827200000,0,0,41,400000.0,50000.0
广东省 广州,80000.00,150,1,1,20.00,80000.00,-9,1,广州**广告公司,0,大众迈腾,90,1,1,0,0.00,1,1,1,0,43354273000,0,1322668800000,0,0,39,140000.0,70000.0
广东省 佛山,40000.00,150,1,1,20.00,40000.00,1,1,佛山**金属容器公司,0,骊威,180,1,1,0,0.00,1,1,1,0,335558396000,0,1291132800000,0,0,33,40000.0,14000.0
广东省 广州,1480000.00,150,1,12,20.00,130000.00,1,1,广州**服装公司,1,克莱斯勒,30,1,11,0,111833.33,1,1,1,0,138410675000,0,1228060800000,0,0,42,110000.0,130000.0
广东省 广州,450000.00,165,1,3,20.00,150000.00,1,1,广州**消防设备公司,1,奥迪A4,30,1,3,0,0.00,1,1,1,0,196465991000,0,1291132800000,0,1,33,190000.0,80000.0
广东省 广州,100000.00,150,1,1,20.00,100000.00,1,1,花都**五金制品公司,0,丰田兰德酷路泽普拉多,120,1,1,0,0.00,1,1,1,0,101991863000,0,1322668800000,0,0,29,380000.0,100000.0
广东省 广州,100000.00,150,1,1,20.00,100000.00,1,1,广州**化妆品有限公司,0,宝马,30,1,1,0,0.00,1,1,1,0,157322685000,0,1322668800000,0,0,28,310000.0,200000.0
广东省 广州,30000.00,15,1,1,20.00,30000.00,1,1,广州**汽车有限公司,0,雪佛兰,30,1,1,0,0.00,0,1,1,0,181045014000,0,1291132800000,0,0,24,60000.0,6400.0
广东省 广州,400000.00,170,1,2,22.00,200000.00,1,1,广州**服装批发公司,1,奔驰,120,1,2,0,0.00,1,1,1,0,165350231000,0,1228060800000,0,0,32,160000.0,200000.0
广东省 广州,370000.00,155,1,3,24.00,130000.00,1,1,广州**交通建设公司,1,大众,180,1,2,1,78198.28,1,1,1,0,41711851000,0,1322668800000,0,0,35,140000.0,40000.0
广东省 佛山,230000.00,150,1,1,24.00,230000.00,1,1,佛山**织造公司,0,奔驰,180,1,1,0,0.00,1,1,1,0,152303868000,0,1354291200000,0,0,38,310000.0,30000.0
广东省 佛山,50000.00,150,1,1,24.00,50000.00,1,1,佛山**汽车用品公司,0,雅阁,270,1,1,0,0.00,0,1,1,0,33763086000,0,1228060800000,0,0,29,70000.0,25000.0
广东省 广州,300000.00,155,1,3,20.00,150000.00,1,1,花都**音响器材公司,1,宝马730,30,1,2,0,0.00,1,1,1,0,-9,0,1322668800000,0,1,29,460000.0,50000.0
广东省 汕尾,90000.00,150,1,2,24.00,40000.00,1,1,广州天河**废品回收站,1,别克,120,1,2,0,0.00,1,1,1,0,286628061000,0,1259596800000,0,0,39,130000.0,8000.0
广东省 佛山,400000.00,170,1,1,20.00,400000.00,1,1,南海**手机电池回收厂,0,揽胜极光,30,1,1,0,0.00,1,1,1,0,-9,0,1354291200000,0,1,24,460000.0,30000.0
广东省 广州,70000.00,170,1,1,24.00,70000.00,1,1,花都**过胶贴合厂,0,丰田卡罗拉,180,1,1,0,0.00,1,1,1,0,523661669000,0,1259596800000,0,0,41,70000.0,35000.0
广东省 佛山,800000.00,150,1,4,20.00,200000.00,1,1,佛山**金属贸易有限公司,1,本田艾力绅牌,30,1,4,0,0.00,1,1,1,0,63585446000,0,1385827200000,0,0,45,240000.0,90000.0
广东省 佛山,660000.00,155,1,6,20.00,110000.00,1,1,佛山**文化传播有限公司,1,宝马牌,30,1,6,0,0.00,0,1,1,0,400612910000,0,1164902400000,0,0,35,150000.0,25000.0
广东省 广州,90000.00,160,1,1,20.00,90000.00,1,1,佛山市**金属制品有限公司,0,东风日产,30,1,1,0,0.00,0,1,1,0,148152176000,0,1291132800000,0,0,45,110000.0,100000.0
广东省 广州,300000.00,160,1,1,22.00,300000.00,1,1,广州市**石材公司,0,奥迪,90,1,1,1,0.00,0,1,1,0,184977276000,0,1322668800000,0,0,32,600000.0,140000.0
广东省 佛山,240000.00,155,1,2,20.00,120000.00,1,1,广东**电气股份有限公司,1,沃尔沃牌,30,1,2,0,0.00,0,1,1,0,148178946000,0,1354291200000,0,0,38,320000.0,30000.0
广东省 广州,70000.00,155,1,2,20.00,40000.00,1,1,佛山市**汽车销售公司,0,雪佛兰牌,30,1,2,0,0.00,0,1,1,0,411302305000,0,1291132800000,0,0,25,50000.0,10000.0
广东省 佛山,510000.00,160,1,1,20.00,510000.00,1,1,佛山市顺德区**贸易有限公司,0,奥迪牌,30,1,1,0,0.00,0,1,1,0,253535929000,0,1354291200000,0,0,39,570000.0,80000.0
广东省 广州,60000.00,160,1,1,24.00,60000.00,1,1,广州**货运市场通豪物流公司,0,上海大众牌,180,1,1,0,0.00,0,1,1,0,366573455000,0,1291132800000,0,1,34,160000.0,20000.0
广东省 广州,90000.00,160,1,1,20.00,90000.00,1,1,广州**家政服务,0,奔驰,30,1,1,0,0.00,0,1,1,0,429721817000,0,1291132800000,0,0,50,100000.0,20000.0
广东省 广州,270000.00,170,0,2,20.00,150000.00,1,1,广州**鞋业广场,1,宝马,30,1,2,0,0.00,0,1,1,0,366649853000,0,1322668800000,0,0,33,500000.0,80000.0
广东省 广州,650000.00,160,1,5,20.00,130000.00,1,1,广州旧汽车配件公司,1,丰田牌,30,1,5,0,0.00,0,1,1,0,174662842000,0,1322668800000,0,0,31,160000.0,40000.0
广东省 广州,350000.00,155,1,7,20.00,50000.00,1,1,广州**电子产品公司,0,别克,30,1,6,0,50833.33,0,1,1,0,245770068000,0,1322668800000,0,0,43,120000.0,150000.0
广东省 广州,80000.00,160,1,1,20.00,80000.00,1,1,东莞市**鞋材公司,0,天籁,30,1,1,0,0.00,0,1,1,0,148596383000,0,1228060800000,0,1,38,90000.0,20000.0
广东省 佛山,280000.00,155,1,4,20.00,70000.00,1,1,佛山市**贸易有限公司,1,起亚牌,30,1,4,0,0.00,3,1,1,0,6468411000,0,1322668800000,0,0,38,100000.0,108000.0
广东省 佛山,40000.00,160,1,1,22.00,40000.00,1,1,佛山市南海区**服装加工厂,0,福克斯,120,1,1,0,0.00,0,1,1,0,201127647000,0,1259596800000,0,0,40,50000.0,20000.0
广东省 广州,50000.00,160,1,1,20.00,50000.00,1,1,**学院老师,0,东风日产,30,1,1,0,0.00,0,1,1,0,17009286000,0,1354291200000,0,1,25,100000.0,45000.0
广东省 广州,30000.00,160,1,1,20.00,30000.00,1,1,广州市**电脑绣花厂,0,东风风神,30,1,1,0,0.00,0,1,1,0,69693975000,0,1385827200000,0,0,28,100000.0,10000.0
广东省 佛山,640000.00,155,1,6,20.00,120000.00,1,1,佛山**建筑工程有限公司,1,雅阁牌,30,1,6,0,0.00,1,1,1,0,782411206000,0,1322668800000,0,0,50,130000.0,100000.0
广东省 广州,280000.00,150,1,7,20.00,40000.00,1,1,广州**工艺饰品公司,1,福克斯牌,30,1,7,0,0.00,0,1,1,0,19755863000,0,1322668800000,0,0,29,50000.0,30000.0
广东省 佛山,90000.00,160,1,1,20.00,90000.00,1,1,佛山市南海**五金制品有限公司,0,大众牌,30,0,1,0,0.00,0,1,1,0,119720705000,0,1322668800000,0,0,45,160000.0,80000.0
