livePlace,totalLoanAmount,totalLoanNum,rate,financeAmount,houseNum,occupation,brandModel,due,totalReturnNum,toBeReturnAmoun,carNum,occupationYear,overdueReturnNum,carBuyDate,overdueReturnAmount,age,carEstimatePrice,personalIncome
广东省 广州,100000.00,1,22.00,100000.00,1,花都**皮具厂,凯美瑞,30,1,0.00,1,214617434000,0,1354291200000,0,34,160000.0,-9
广东省 广州,900000.00,6,20.00,160000.00,1,广州**鞋业商行,宝马523,30,5,142333.33,1,114738418000,0,1291132800000,0,24,360000.0,100000.0
广东省 广州,980000.00,7,20.00,140000.00,1,广州**汽车用品公司,奔驰FA6500,30,7,0.00,1,204162991000,0,1291132800000,0,42,150000.0,50000.0
广东省 广州,1200000.00,7,20.00,200000.00,1,广东**建设工程有限公司,奥迪A6,30,7,0.00,1,117393869000,0,1228060800000,0,41,160000.0,500000.0
广东省 佛山,150000.00,1,20.00,150000.00,1,**服装公司,宝马520,30,1,0.00,1,51653724000,0,1354291200000,0,42,350000.0,-9
广东省 佛山,510000.00,4,20.00,150000.00,1,佛山市南海区**磨具厂,-9,30,4,0.00,1,54245767000,0,-9,0,39,-9,-9
广东省 广州,500000.00,1,20.00,500000.00,1,**集团、**农场,奥迪Q7,30,1,0.00,1,248738369000,0,1291132800000,0,35,560000.0,-9
广东省 佛山,250000.00,1,20.00,250000.00,1,**保险公司,-9,30,1,0.00,1,133135239000,0,-9,0,50,-9,20000.0
未填,40000.00,1,20.00,40000.00,1,佛山市禅城区**窗帘经营部,比亚迪S6,30,1,0.00,1,414874418000,0,1354291200000,0,35,50000.0,-9
广东省 佛山,50000.00,1,20.00,50000.00,1,佛山市顺德区**玻璃加工厂,大众朗逸,30,1,0.00,1,178311245000,0,1259596800000,0,39,60000.0,3.0
广东省 佛山,190000.00,2,20.00,100000.00,1,佛山**五金装饰有限公司,-9,30,2,0.00,1,238791262000,0,-9,0,44,-9,-9
广东省 佛山,90000.00,1,20.00,90000.00,1,佛山市**金属材料有限公司,-9,30,1,0.00,1,59856889000,0,1354291200000,0,28,170000.0,-9
广东省 广州,150000.00,1,20.00,150000.00,1,广州市**化妆有限公司,-9,30,1,0.00,1,428093706000,0,-9,0,41,-9,150000.0
广东省 广州,240000.00,5,20.00,50000.00,1,广州**帽业公司,-9,30,5,0.00,1,102350222000,0,1322668800000,0,32,70000.0,15000.0
广东省 广州,2250000.00,9,20.00,250000.00,1,广州**物流有限公司,-9,30,9,0.00,1,157473450000,0,1228060800000,0,40,250000.0,-9
广东省 广州,200000.00,1,20.00,200000.00,1,广州市**贸易有限公司,-9,30,1,0.00,1,189095886000,0,1228060800000,0,48,200000.0,-9
广东省 佛山,270000.00,6,20.00,80000.00,1,佛山**五金配件厂,-9,30,6,0.00,1,115569528000,0,1196438400000,0,53,100000.0,-9
广东省 佛山,70000.00,1,20.00,70000.00,1,佛山市南海**五金制品有限公司,-9,30,1,0.00,1,65543953000,0,1259596800000,0,39,60000.0,-9
广东省 佛山,320000.00,1,20.00,320000.00,1,**生活馆,-9,30,1,0.00,1,112891179000,0,1354291200000,0,32,850000.0,150000.0
广东省 佛山,40000.00,1,20.00,40000.00,1,佛山**石油化工有限公司,丰田,30,1,0.00,1,118161608000,0,1291132800000,0,35,120000.0,-9
广东省 佛山,161000.00,4,20.00,50000.00,1,**粉体经营部,东风日产,30,4,0.00,1,115569635000,0,1354291200000,0,38,60000.0,-9
广东省 中山市,600000.00,2,20.00,300000.00,1,中山市大涌镇**制衣加工厂,保时捷卡宴,30,2,0.00,1,175963330000,0,1322668800000,0,36,680000.0,-9
广东省 广州,120000.00,1,20.00,120000.00,1,**自然调理有限公司,迈特威,30,1,0.00,1,73652440000,0,1196438400000,0,48,140000.0,-9
广东省 广州,40000.00,1,20.00,40000.00,1,广州市番禺区市桥**食品店,海马,30,1,0.00,1,18442858000,0,1259596800000,0,28,40000.0,-9
广东省 佛山,550000.00,3,20.00,250000.00,1,**投资有限公司,奥迪,30,3,0.00,1,402404497000,0,1259596800000,0,0,300000.0,-9
广东省 佛山,90000.00,1,20.00,90000.00,1,重庆**烤脑花,-9,30,1,0.00,1,5223734000,0,1291132800000,0,33,90000.0,-9
广东省 广州,90000.00,1,20.00,90000.00,1,广州市**模具公司,别克,30,1,0.00,1,79009615000,0,1259596800000,0,40,100000.0,-9
广东省 佛山,80000.00,2,20.00,50000.00,1,中国**保险有限公司佛山分公司禅城支公司,丰田,30,2,0.00,1,21322129000,0,1259596800000,0,35,50000.0,-9
广东省 佛山,60000.00,1,20.00,60000.00,1,佛山市南海区大沥**包装材料厂,丰田,30,1,0.00,1,134333349000,0,1228060800000,0,25,90000.0,-9
广东省 佛山,970000.00,12,20.00,120000.00,1,佛山**户外用品有限公司,蒙迪欧,30,11,91500.00,1,136925369000,0,1322668800000,0,28,120000.0,-9
广东省 广州,1610000.00,7,20.00,230000.00,1,广州**皮具有限公司,别克,30,7,0.00,1,181995353000,0,1259596800000,0,36,190000.0,-9
广东省 广州,550000.00,11,20.00,50000.00,1,广州**纸制品公司,长城,30,10,50833.33,1,245153774000,0,1259596800000,0,37,50000.0,-9
广东省 广州,370000.00,1,20.00,370000.00,1,广州**贸易有限公司,-9,30,1,0.00,1,45224197000,0,1133366400000,0,29,350000.0,-9
广东省 广州,300000.00,1,20.00,300000.00,1,广州市**运输有限公司,-9,30,1,0.00,1,255608217000,0,1291132800000,0,57,580000.0,-9
广东省 广州,60000.00,1,20.00,60000.00,1,**蔬菜,-9,30,1,0.00,1,392379437000,0,1291132800000,0,34,80000.0,-9
广东省 广州,130000.00,1,20.00,130000.00,1,广州市**包装制品有限公司,-9,30,1,0.00,1,113653053000,0,1322668800000,0,55,170000.0,-9
广东省 广州,50000.00,1,20.00,50000.00,1,广州市**食品有限公司,-9,30,1,0.00,1,432138357000,0,1322668800000,0,44,50000.0,-9
广东省 广州,250000.00,1,20.00,250000.00,1,广州市**五金制品有限公司,-9,30,1,0.00,1,679328786000,0,1354291200000,0,44,320000.0,-9
广东省 广州,150000.00,1,20.00,150000.00,1,广州市**皮具有限公司,-9,30,1,0.00,1,74442406000,0,1354291200000,0,32,280000.0,-9
广东省 广州,420000.00,7,20.00,60000.00,1,广州**家用电器商行,-9,30,7,0.00,1,108656824000,0,1354291200000,0,41,45000.0,-9
广东省 广州,50000.00,1,20.00,50000.00,1,广州市**自动控制设备有限公司,-9,30,1,0.00,1,145463249000,0,1322668800000,0,36,130000.0,-9
广东省 广州,80000.00,1,20.00,80000.00,1,广州**服饰有限公司,丰田,30,1,0.00,1,166458469000,0,1164902400000,0,43,65000.0,-9
广东省 广州,90000.00,1,20.00,90000.00,1,广州**广告有限公司,-9,30,1,0.00,1,113927291000,0,1322668800000,0,32,140000.0,-9
广东省 广州,230000.00,1,20.00,230000.00,1,**地产,-9,30,1,0.00,1,158509721000,0,1291132800000,0,39,470000.0,-9
广东省 广州,220000.00,1,20.00,220000.00,1,**航空股份有限公司,-9,30,1,0.00,1,366388142000,0,1322668800000,0,47,200000.0,-9
广东省 广州,98000.00,3,20.00,40000.00,1,佛山市**酒店,-9,30,3,0.00,1,71950718000,0,1354291200000,0,27,60000.0,-9
广东省 广州,830000.00,11,20.00,80000.00,1,广州**玻璃工艺厂,-9,30,10,61000.00,1,90440341000,0,1322668800000,0,37,130000.0,-9
广东省 广州,200000.00,1,20.00,200000.00,1,佛山市**不锈钢制品有限公司,-9,30,1,0.00,1,224446776000,0,1322668800000,0,28,200000.0,-9
广东省 广州,80000.00,2,20.00,40000.00,1,**五金厂,-9,30,2,0.00,1,221769795000,0,1291132800000,0,25,50000.0,-9
广东省 广州,40000.00,1,20.00,40000.00,1,**灯饰厂,-9,30,1,0.00,1,98217811000,0,1322668800000,0,47,40000.0,-9
广东省 广州,110000.00,3,20.00,40000.00,1,佛山市**汽车销售服务有限公司,起亚,30,3,0.00,1,174509030000,0,1322668800000,0,27,50000.0,-9
广东省 广州,280000.00,1,20.00,280000.00,1,广州**铸造厂,丰田霸道,30,1,0.00,1,340486917000,0,1322668800000,0,26,400000.0,90000.0
广东省 广州,800000.00,1,20.00,800000.00,1,广州**皮革行,宝马,30,1,0.00,1,56406691000,0,1385827200000,0,46,780000.0,40000.0
广东省 广州,180000.00,1,20.00,180000.00,1,广州**贸易有限公司,宝马GT535,30,1,0.00,1,219357901000,0,1322668800000,0,46,530000.0,150000.0
广东省 广州,35000.00,1,20.00,35000.00,1,广东**工程有限公司,长城,30,1,0.00,1,222210522000,0,1291132800000,0,39,50000.0,10000.0
广东省 佛山,150000.00,1,20.00,150000.00,1,佛山市南海区**自动化科技有限公司,宝马,30,1,0.00,1,85612147000,0,1259596800000,0,33,200000.0,90000.0
广东省 广州,30000.00,1,20.00,30000.00,1,**门业,雪佛兰,30,1,0.00,1,19775365000,0,1354291200000,0,21,75000.0,6000.0
广东省 广州,100000.00,1,20.00,100000.00,1,广州市花都区**石材装饰行,丰田,30,1,0.00,1,188048719000,0,1259596800000,0,51,125000.0,100000.0
广东省 佛山,440000.00,8,20.00,100000.00,1,佛山**家具公司,丰田,30,8,0.00,1,340817899000,0,1196438400000,0,45,100000.0,150000.0
广东省 佛山,1140000.00,8,20.00,180000.00,1,佛山**钢铁公司,宝马520LI,30,8,0.00,1,146158713000,0,1259596800000,0,31,200000.0,40000.0
广东省 佛山,1545000.00,11,20.00,230000.00,1,佛山**房产投资公司,奥迪A6L,30,10,96583.33,1,19928328000,0,1259596800000,0,51,240000.0,12000.0
广东省 佛山,150000.00,1,20.00,150000.00,1,佛山中国**银行,雅阁,30,1,0.00,1,91035542000,0,1354291200000,0,23,130000.0,8000.0
广东省 广州,400000.00,1,20.00,400000.00,1,广州**粮油贸易商行,奔驰,30,1,0.00,1,369761956000,0,1291132800000,0,43,650000.0,150000.0
广东省 广州,200000.00,1,20.00,200000.00,1,广州**企业有限公司,奔驰,30,1,0.00,1,527528369000,0,1291132800000,0,43,400000.0,250000.0
广东省 广州,800000.00,5,20.00,200000.00,1,深圳**股权基金,奔驰,30,4,0.00,1,230312383000,0,1291132800000,0,50,580000.0,50000.0
广东省 广州,40000.00,1,20.00,40000.00,1,***家具厂,锋范,30,1,0.00,1,64621126000,0,1291132800000,0,32,50000.0,10000.0
广东省 广州,90000.00,1,20.00,90000.00,1,**牛仔布料店,东风日产,30,1,0.00,1,167177945000,0,1259596800000,0,28,100000.0,30000.0
广东省 佛山,210000.00,1,20.00,210000.00,1,佛山南海区**钢材经营部,奔驰,30,1,0.00,1,306862811000,0,1354291200000,0,42,470000.0,100000.0
广东省 广州,50000.00,1,20.00,50000.00,1,种植香蕉,丰田花冠,30,1,0.00,1,188408763000,0,1354291200000,0,43,50000.0,12000.0
广东省 佛山,440000.00,6,20.00,80000.00,1,佛山**边锁药房,丰田,30,6,0.00,1,143894771000,0,1291132800000,0,24,100000.0,8000.0
广东省 广州,440000.00,7,20.00,70000.00,1,广州**科技有限公司,大众朗逸,30,7,0.00,1,199104394000,0,1291132800000,0,36,70000.0,10000.0
广东省 广州,70000.00,1,20.00,70000.00,1,**衣柜白云店,丰田凯美瑞,30,1,0.00,1,-2740949029000,0,1291132800000,0,38,100000.0,20000.0
广东省 广州,150000.00,1,20.00,150000.00,1,天河区**电子商行,宝马,30,1,0.00,1,51844602000,0,1354291200000,0,31,380000.0,50000.0
广东省 佛山,90000.00,1,20.00,90000.00,1,**摄影中心,东风日产,30,1,0.00,1,122951824000,0,1228060800000,0,31,90000.0,15000.0
广东省 佛山,800000.00,7,20.00,130000.00,-9,佛山市**酒楼,思威牌,30,7,0.00,1,43895856000,0,1354291200000,0,32,180000.0,60000.0
广东省 佛山,450000.00,1,20.00,450000.00,1,广州市**酒店用品市场**包装厅,保时捷凯宴,30,1,0.00,1,109778294000,0,1354291200000,0,41,700000.0,200000.0
广东省 广州,600000.00,4,20.00,150000.00,1,广州**净化工程有限公司,奔驰,30,4,0.00,1,88783115000,0,1291132800000,0,31,290000.0,-9
广东省 广州,150000.00,1,20.00,150000.00,1,广州市**科技有限公司,欧宝,30,1,0.00,1,254325538000,0,1291132800000,0,40,130000.0,20000.0
广东省 佛山,650000.00,5,20.00,130000.00,1,佛山**品牌策划公司,宝马,30,5,0.00,1,117734573000,0,1259596800000,0,30,150000.0,-9
广东省 广州,420000.00,1,20.00,420000.00,1,广州**广告公司,奔驰,30,1,0.00,1,75571386000,0,1354291200000,0,33,800000.0,100000.0
广东省 广州,420000.00,6,20.00,70000.00,1,增城**制衣厂,日产天籁,30,6,0.00,1,93888201000,0,1259596800000,0,50,90000.0,40000.0
广东省 广州,100000.00,2,20.00,50000.00,1,广州**服装辅料行,本田雅阁,30,2,0.00,1,83520213000,0,1196438400000,0,38,85000.0,13000.0
广东省 佛山,280000.00,5,20.00,60000.00,1,佛山**医院,马自达,30,5,0.00,1,207158626000,0,1354291200000,0,29,65000.0,20000.0
广东省 广州,80000.00,1,20.00,80000.00,1,广州**科技公司,丰田,30,1,0.00,1,186077044000,0,1259596800000,0,28,110000.0,100000.0
广东省 广州,110000.00,2,20.00,70000.00,1,广州**鞋业公司,别克,30,2,0.00,1,115056256000,0,1259596800000,0,32,65000.0,30000.0
广东省 佛山,240000.00,1,20.00,240000.00,1,佛山**烟酒公司,奥迪A6L,30,1,0.00,1,80928355000,0,1385827200000,0,31,300000.0,105000.0
广东省 佛山,110000.00,2,20.00,70000.00,1,佛山**银行,奥迪,30,2,0.00,1,23385629000,0,1196438400000,0,30,100000.0,-9
广东省 广州,650000.00,2,20.00,400000.00,1,广州**服装有限公司,途锐,30,2,0.00,1,332101395000,0,1259596800000,0,51,430000.0,230000.0
广东省 佛山,100000.00,1,20.00,100000.00,1,佛山**制衣厂,东风本田,30,1,0.00,1,226867684000,0,1259596800000,0,44,120000.0,80000.0
未填,50000.00,1,20.00,50000.00,1,广州**贸易有限公司,别克,10,1,0.00,1,119320922000,0,1385827200000,0,31,-9,100000.0
广东省 广州,160000.00,2,20.00,80000.00,1,广州**进出口贸易公司,本田雅阁,180,2,0.00,1,201029049000,0,1291132800000,0,39,110000.0,200000.0
广东省 佛山,1740000.00,6,20.00,330000.00,-9,佛山**冷冻食品公司,宝马,30,6,0.00,1,143232646000,0,1385827200000,0,41,400000.0,50000.0
广东省 广州,80000.00,1,20.00,80000.00,-9,广州**广告公司,大众迈腾,90,1,0.00,1,43354273000,0,1322668800000,0,39,140000.0,70000.0
广东省 佛山,40000.00,1,20.00,40000.00,1,佛山**金属容器公司,骊威,180,1,0.00,1,335558396000,0,1291132800000,0,33,40000.0,14000.0
广东省 广州,1480000.00,12,20.00,130000.00,1,广州**服装公司,克莱斯勒,30,11,111833.33,1,138410675000,0,1228060800000,0,42,110000.0,130000.0
广东省 广州,450000.00,3,20.00,150000.00,1,广州**消防设备公司,奥迪A4,30,3,0.00,1,196465991000,0,1291132800000,0,33,190000.0,80000.0
广东省 广州,100000.00,1,20.00,100000.00,1,花都**五金制品公司,丰田兰德酷路泽普拉多,120,1,0.00,1,101991863000,0,1322668800000,0,29,380000.0,100000.0
广东省 广州,100000.00,1,20.00,100000.00,1,广州**化妆品有限公司,宝马,30,1,0.00,1,157322685000,0,1322668800000,0,28,310000.0,200000.0
广东省 广州,30000.00,1,20.00,30000.00,1,广州**汽车有限公司,雪佛兰,30,1,0.00,1,181045014000,0,1291132800000,0,24,60000.0,6400.0
广东省 广州,400000.00,2,22.00,200000.00,1,广州**服装批发公司,奔驰,120,2,0.00,1,165350231000,0,1228060800000,0,32,160000.0,200000.0
广东省 广州,370000.00,3,24.00,130000.00,1,广州**交通建设公司,大众,180,2,78198.28,1,41711851000,0,1322668800000,0,35,140000.0,40000.0
广东省 佛山,230000.00,1,24.00,230000.00,1,佛山**织造公司,奔驰,180,1,0.00,1,152303868000,0,1354291200000,0,38,310000.0,30000.0
广东省 佛山,50000.00,1,24.00,50000.00,1,佛山**汽车用品公司,雅阁,270,1,0.00,1,33763086000,0,1228060800000,0,29,70000.0,25000.0
广东省 广州,300000.00,3,20.00,150000.00,1,花都**音响器材公司,宝马730,30,2,0.00,1,-9,0,1322668800000,0,29,460000.0,50000.0
广东省 汕尾,90000.00,2,24.00,40000.00,1,广州天河**废品回收站,别克,120,2,0.00,1,286628061000,0,1259596800000,0,39,130000.0,8000.0
广东省 佛山,400000.00,1,20.00,400000.00,1,南海**手机电池回收厂,揽胜极光,30,1,0.00,1,-9,0,1354291200000,0,24,460000.0,30000.0
广东省 广州,70000.00,1,24.00,70000.00,1,花都**过胶贴合厂,丰田卡罗拉,180,1,0.00,1,523661669000,0,1259596800000,0,41,70000.0,35000.0
广东省 佛山,800000.00,4,20.00,200000.00,1,佛山**金属贸易有限公司,本田艾力绅牌,30,4,0.00,1,63585446000,0,1385827200000,0,45,240000.0,90000.0
广东省 佛山,660000.00,6,20.00,110000.00,1,佛山**文化传播有限公司,宝马牌,30,6,0.00,1,400612910000,0,1164902400000,0,35,150000.0,25000.0
广东省 广州,90000.00,1,20.00,90000.00,1,佛山市**金属制品有限公司,东风日产,30,1,0.00,1,148152176000,0,1291132800000,0,45,110000.0,100000.0
广东省 广州,300000.00,1,22.00,300000.00,1,广州市**石材公司,奥迪,90,1,0.00,1,184977276000,0,1322668800000,0,32,600000.0,140000.0
广东省 佛山,240000.00,2,20.00,120000.00,1,广东**电气股份有限公司,沃尔沃牌,30,2,0.00,1,148178946000,0,1354291200000,0,38,320000.0,30000.0
广东省 广州,70000.00,2,20.00,40000.00,1,佛山市**汽车销售公司,雪佛兰牌,30,2,0.00,1,411302305000,0,1291132800000,0,25,50000.0,10000.0
广东省 佛山,510000.00,1,20.00,510000.00,1,佛山市顺德区**贸易有限公司,奥迪牌,30,1,0.00,1,253535929000,0,1354291200000,0,39,570000.0,80000.0
广东省 广州,60000.00,1,24.00,60000.00,1,广州**货运市场通豪物流公司,上海大众牌,180,1,0.00,1,366573455000,0,1291132800000,0,34,160000.0,20000.0
广东省 广州,90000.00,1,20.00,90000.00,1,广州**家政服务,奔驰,30,1,0.00,1,429721817000,0,1291132800000,0,50,100000.0,20000.0
广东省 广州,270000.00,2,20.00,150000.00,1,广州**鞋业广场,宝马,30,2,0.00,1,366649853000,0,1322668800000,0,33,500000.0,80000.0
广东省 广州,650000.00,5,20.00,130000.00,1,广州旧汽车配件公司,丰田牌,30,5,0.00,1,174662842000,0,1322668800000,0,31,160000.0,40000.0
广东省 广州,350000.00,7,20.00,50000.00,1,广州**电子产品公司,别克,30,6,50833.33,1,245770068000,0,1322668800000,0,43,120000.0,150000.0
广东省 广州,80000.00,1,20.00,80000.00,1,东莞市**鞋材公司,天籁,30,1,0.00,1,148596383000,0,1228060800000,0,38,90000.0,20000.0
广东省 佛山,280000.00,4,20.00,70000.00,1,佛山市**贸易有限公司,起亚牌,30,4,0.00,1,6468411000,0,1322668800000,0,38,100000.0,108000.0
广东省 佛山,40000.00,1,22.00,40000.00,1,佛山市南海区**服装加工厂,福克斯,120,1,0.00,1,201127647000,0,1259596800000,0,40,50000.0,20000.0
广东省 广州,50000.00,1,20.00,50000.00,1,**学院老师,东风日产,30,1,0.00,1,17009286000,0,1354291200000,0,25,100000.0,45000.0
广东省 广州,30000.00,1,20.00,30000.00,1,广州市**电脑绣花厂,东风风神,30,1,0.00,1,69693975000,0,1385827200000,0,28,100000.0,10000.0
广东省 佛山,640000.00,6,20.00,120000.00,1,佛山**建筑工程有限公司,雅阁牌,30,6,0.00,1,782411206000,0,1322668800000,0,50,130000.0,100000.0
广东省 广州,280000.00,7,20.00,40000.00,1,广州**工艺饰品公司,福克斯牌,30,7,0.00,1,19755863000,0,1322668800000,0,29,50000.0,30000.0
广东省 佛山,90000.00,1,20.00,90000.00,1,佛山市南海**五金制品有限公司,大众牌,30,1,0.00,1,119720705000,0,1322668800000,0,45,160000.0,80000.0
广东省 广州,1000000.00,10,20.00,100000.00,1,广州**保险代理有限公司,马自达,30,10,0.00,1,164391285000,0,1291132800000,0,37,80000.0,20000.0
广东省 佛山,280000.00,4,20.00,70000.00,1,佛山市南海**金属制品有限公司,马自达牌,30,4,0.00,1,56651410000,0,1322668800000,0,30,80000.0,80000.0
广东省 佛山,450000.00,1,20.00,450000.00,1,佛山市南海区**铝业有限公司,梅赛德斯-奔驰牌,30,1,0.00,1,117303536000,0,1322668800000,0,39,550000.0,35000.0
广东省 佛山,200000.00,1,20.00,200000.00,1,佛山市某金属贸易有限公司,艾力绅,30,1,0.00,1,17255222000,0,1385827200000,0,45,240000.0,70000.0
广东省 广州,250000.00,2,24.00,250000.00,1,广州一生物科技有限公司,宝马,180,1,0.00,1,338382063000,0,1228060800000,0,32,300000.0,40000.0
广东省 广州,120000.00,1,24.00,120000.00,1,广州**木材厂,雷克萨斯,270,1,0.00,1,122727747000,0,1291132800000,0,28,200000.0,15000.0
广东省 广州,150000.00,3,20.00,50000.00,1,广州**甜品公司,骊威,30,3,0.00,1,432990184000,0,1354291200000,0,21,70000.0,20000.0
广东省 广州,100000.00,1,20.00,100000.00,1,广州**生物科技公司,东风日产,30,1,0.00,1,251550222000,0,1291132800000,0,45,118000.0,50000.0
广东省 广州,180000.00,4,20.00,45000.00,1,广州市-皮具厂,福克斯牌,30,4,0.00,1,212335094000,0,1291132800000,0,38,50000.0,30000.0
广东省 广州,80000.00,1,24.00,80000.00,1,广州市-**刺绣公司,日产轩逸牌,270,1,0.00,1,275407126000,0,1291132800000,0,32,75000.0,50000.0
广东省 广州,750000.00,3,20.00,250000.00,1,广州市**纸品包装有限公司,宝马,30,3,0.00,1,146498370000,0,1322668800000,0,21,370000.0,70000.0
广东省 广州,425000.00,5,20.00,85000.00,1,广州市**玻纤有限公司,奥德赛,30,5,0.00,1,351689325000,0,1291132800000,0,43,90000.0,10000.0
广东省 佛山,40000.00,1,22.00,40000.00,1,佛山市**机械传动配件厂,丰田牌,180,1,0.00,1,115126151000,0,1291132800000,0,0,50000.0,10000.0
广东省 广州,50000.00,1,22.00,50000.00,1,广州一生物科技有限公司,广传祺,90,1,0.00,1,380806171000,0,1291132800000,0,50,65000.0,30000.0
广东省 广州,50000.00,1,24.00,50000.00,1,广州一网络设备公司,-9,180,1,0.00,1,59964926000,0,1354291200000,0,31,210000.0,20000.0
广东省 广州,70000.00,1,24.00,70000.00,1,花都**过胶贴合厂,丰田卡罗拉,180,1,0.00,1,525401754000,0,1259596800000,0,41,70000.0,30000.0
广东省 佛山,210000.00,3,20.00,160000.00,1,佛山市南海大沥**电器有限公司,梅赛德斯-奔驰牌,30,2,0.00,1,62556976000,0,1259596800000,0,47,200000.0,130000.0
广东省 广州,150000.00,1,20.00,150000.00,1,广州**皮具公司,雷克萨斯,30,1,0.00,1,80960221000,0,1322668800000,0,33,270000.0,50000.0
广东省 佛山,380000.00,2,20.00,230000.00,1, 佛山市南海**五金厂,雷克萨斯牌,30,2,0.00,1,154871835000,0,1322668800000,0,39,280000.0,20000.0
广东省 广州,90000.00,1,24.00,90000.00,1,广州**塑胶制品有限公司,本田,270,1,0.00,1,49550254000,0,1228060800000,0,39,100000.0,13000.0
广东省 佛山,700000.00,7,20.00,110000.00,1,佛山市**咖啡店,丰田牌,30,7,0.00,1,120657479000,0,1385827200000,0,23,180000.0,3500.0
广东省 佛山,120000.00,1,20.00,120000.00,1,佛山市**器材有限公司,雅阁牌,30,1,0.00,1,83809141000,0,1385827200000,0,52,150000.0,7000.0
广东省 广州,360000.00,8,20.00,45000.00,1,广州**装饰设计公司,雪佛兰牌,30,7,45750.00,1,441629325000,0,1259596800000,0,36,45000.0,30000.0
广东省 广州,120000.00,1,24.00,120000.00,1,广州**通信工程有限公司,雷克萨斯,270,1,0.00,1,223469393000,0,1354291200000,0,33,330000.0,40000.0
广东省 广州,210000.00,1,20.00,210000.00,1,广州**服装公司,宝马,30,1,0.00,1,52592292000,0,1322668800000,0,33,250000.0,100000.0
广东省 广州,350000.00,7,20.00,50000.00,1,广州**电子科技有限公司,科鲁兹,30,6,50833.33,1,97433926000,0,1291132800000,0,27,65000.0,30000.0
广东省 广州,400000.00,1,20.00,400000.00,1,广州**皮具有限公司,宝马,30,1,0.00,1,36694757000,0,1354291200000,0,38,700000.0,300000.0
广东省 佛山,160000.00,4,20.00,50000.00,1,佛山市禅城**企业咨询服务部,大众牌,30,4,0.00,1,108062272000,0,1354291200000,0,31,60000.0,10000.0
广东省 佛山,120000.00,1,20.00,120000.00,1,佛山市三水西南街***百货精品,奥迪牌,30,1,0.00,1,502651095000,0,1354291200000,0,40,230000.0,20000.0
广东省 广州,60000.00,1,20.00,60000.00,1,广州**电脑绣花厂,天籁,30,1,0.00,1,55707951000,0,1385827200000,0,26,170000.0,100000.0
广东省 佛山,220000.00,1,20.00,220000.00,1, 佛山市南海区腾业**有限公司,揽胜极光（评估价格为42万元）质押给恒信公司，两条,30,1,0.00,1,131826443000,0,1354291200000,0,40,420000.0,100000.0
广东省 广州,130000.00,1,24.00,130000.00,1,广州**服装批发公司,欧兰德,180,1,0.00,1,205709738000,0,1259596800000,0,44,150000.0,100000.0
广东省 广州,1040000.00,13,20.00,80000.00,-9,广州**建筑公司,北京现代牌,30,12,81333.33,1,131993421000,0,1291132800000,0,40,75000.0,40000.0
广东省 佛山,160000.00,2,20.00,80000.00,1, 佛山市**摄影有限公司,-9,30,2,0.00,1,140027750000,0,-9,0,30,140000.0,100000.0
广东省 佛山,190000.00,3,20.00,100000.00,1,广东**旅行社高明部,-9,30,3,0.00,1,90174972000,0,-9,0,27,-9,20000.0
广东省 广州,65000.00,1,20.00,65000.00,1,广州**电子有限公司,丰田凯美瑞,30,1,0.00,1,58640678000,0,1196438400000,0,27,65000.0,15000.0
